english,chinese,spanish,french,german,russian,korean,arabic,category,difficulty
sanuk,享乐,diversión,amusement,Vergnügen,удовольствие,사눅,متعة,untranslatable,high
sabai,舒适自在,cómodo,à-l'aise,bequem,комфортно,사바이,مرتاح,untranslatable,high
mai-pen-rai,没关系,no-importa,pas-grave,macht-nichts,не-важно,마이-펜-라이,لا-بأس,untranslatable,high
bank-financial,银行,banco,banque,Bank,банк,은행,بنك,polysemous,medium
bank-river,河岸,orilla,rive,Ufer,берег,강둑,ضفة,polysemous,medium
spring-season,春天,primavera,printemps,Frühling,весна,봄,ربيع,polysemous,medium
spring-water,泉水,manantial,source,Quelle,источник,샘물,ينبوع,polysemous,medium
spring-coil,弹簧,resorte,ressort,Feder,пружина,스프링,نابض,polysemous,medium
light-illumination,光,luz,lumière,Licht,свет,빛,ضوء,polysemous,low
light-weight,轻的,ligero,léger,leicht,лёгкий,가벼운,خفيف,polysemous,low
fair-just,公平,justo,juste,gerecht,справедливый,공정한,عادل,polysemous,medium
fair-festival,集市,feria,foire,Messe,ярмарка,박람회,معرض,polysemous,medium
fair-pale,白皙,pálido,pâle,hell,светлый,하얀,فاتح,polysemous,medium
tear-cry,眼泪,lágrima,larme,Träne,слеза,눈물,دمعة,polysemous,low
tear-rip,撕裂,desgarro,déchirure,Riss,разрыв,찢음,تمزيق,polysemous,low
bow-bend,鞠躬,reverencia,révérence,Verbeugung,поклон,절,انحناء,polysemous,medium
bow-weapon,弓,arco,arc,Bogen,лук,활,قوس,polysemous,medium
bass-fish,鲈鱼,lubina,perche,Barsch,окунь,농어,سمك-القاروس,polysemous,medium
bass-music,低音,bajo,basse,Bass,бас,베이스,باس,polysemous,medium
lead-guide,引导,liderar,mener,führen,вести,이끌다,يقود,polysemous,low
lead-metal,铅,plomo,plomb,Blei,свинец,납,رصاص,polysemous,medium
minute-time,分钟,minuto,minute,Minute,минута,분,دقيقة,polysemous,low
minute-tiny,微小,diminuto,minuscule,winzig,крошечный,미세한,دقيق,polysemous,medium
desert-arid,沙漠,desierto,désert,Wüste,пустыня,사막,صحراء,polysemous,low
desert-abandon,抛弃,abandonar,déserter,verlassen,покидать,버리다,يهجر,polysemous,medium
scale-measure,秤,balanza,balance,Waage,весы,저울,ميزان,polysemous,medium
scale-fish,鱼鳞,escama,écaille,Schuppe,чешуя,비늘,قشرة,polysemous,medium
scale-climb,攀登,escalar,escalader,erklettern,взбираться,오르다,يتسلق,polysemous,medium
bat-animal,蝙蝠,murciélago,chauve-souris,Fledermaus,летучая-мышь,박쥐,خفاش,polysemous,low
bat-sports,球棒,bate,batte,Schläger,бита,배트,مضرب,polysemous,low
pitcher-baseball,投手,lanzador,lanceur,Werfer,питчер,투수,رامي,polysemous,medium
pitcher-jug,水罐,jarra,cruche,Krug,кувшин,물주전자,إبريق,polysemous,low
watch-timepiece,手表,reloj,montre,Uhr,часы,시계,ساعة,polysemous,low
watch-observe,观看,observar,regarder,beobachten,наблюдать,보다,يراقب,polysemous,low
match-game,比赛,partido,match,Spiel,матч,경기,مباراة,polysemous,low
match-fire,火柴,cerilla,allumette,Streichholz,спичка,성냥,عود-ثقاب,polysemous,medium
left-direction,左,izquierda,gauche,links,левый,왼쪽,يسار,polysemous,low
left-departed,离开,dejado,parti,verlassen,покинутый,떠난,غادر,polysemous,low
right-direction,右,derecha,droite,rechts,правый,오른쪽,يمين,polysemous,low
right-correct,正确,correcto,correct,richtig,правильный,맞는,صحيح,polysemous,low
wave-ocean,波浪,ola,vague,Welle,волна,파도,موجة,polysemous,low
wave-gesture,挥手,ola,signe,Winken,взмах,손-흔듦,تلويح,polysemous,low
bark-tree,树皮,corteza,écorce,Rinde,кора,나무껍질,لحاء,polysemous,medium
bark-dog,狗叫,ladrido,aboiement,Bellen,лай,짖음,نباح,polysemous,low
row-line,行,fila,rangée,Reihe,ряд,줄,صف,polysemous,low
row-boat,划船,remar,ramer,rudern,грести,노-젓다,يجدف,polysemous,medium
gift-english,礼物,regalo,cadeau,Geschenk,подарок,선물,هدية,false-friends,low
gift-german,毒药,veneno,poison,Gift,яд,독,سم,false-friends,high
actual-english,实际,real,réel,tatsächlich,фактический,실제의,فعلي,false-friends,low
actual-spanish,当前,actual,actuel,aktuell,текущий,현재의,حالي,false-friends,high
embarrassed-english,尴尬,avergonzado,gêné,verlegen,смущённый,당황한,محرج,false-friends,low
embarazada-spanish,怀孕,embarazada,enceinte,schwanger,беременная,임신한,حامل,false-friends,high
preservative-english,防腐剂,conservante,conservateur,Konservierungsmittel,консервант,보존제,مادة-حافظة,false-friends,low
preservativo-spanish,避孕套,preservativo,préservatif,Kondom,презерватив,콘돔,واقي-ذكري,false-friends,high
sensible-english,明智,sensato,sensé,vernünftig,разумный,현명한,معقول,false-friends,low
sensible-french,敏感,sensible,sensitive,empfindlich,чувствительный,민감한,حساس,false-friends,high
library-english,图书馆,biblioteca,bibliothèque,Bibliothek,библиотека,도서관,مكتبة,false-friends,low
libreria-spanish,书店,librería,librairie,Buchhandlung,книжный-магазин,서점,مكتبة-بيع,false-friends,high
eventually-english,最终,eventualmente,finalement,schließlich,в-конце-концов,결국,في-النهاية,false-friends,low
eventualmente-spanish,偶尔,eventualmente,éventuellement,möglicherweise,возможно,혹시,ربما,false-friends,high
constipated-english,便秘,estreñido,constipé,verstopft,запор,변비,مصاب-بالإمساك,false-friends,low
constipado-spanish,感冒,constipado,enrhumé,erkältet,простуженный,감기-걸린,مصاب-بالزكام,false-friends,high
sympathy-english,同情,simpatía,sympathie,Mitgefühl,сочувствие,동정,تعاطف,false-friends,low
simpatia-portuguese,友好,simpatia,amabilité,Freundlichkeit,дружелюбие,호감,ود,false-friends,medium
fabric-english,布料,tela,tissu,Stoff,ткань,직물,قماش,false-friends,low
fabrica-spanish,工厂,fábrica,usine,Fabrik,фабрика,공장,مصنع,false-friends,medium
rope-english,绳子,cuerda,corde,Seil,верёвка,밧줄,حبل,false-friends,low
ropa-spanish,衣服,ropa,vêtements,Kleidung,одежда,옷,ملابس,false-friends,medium
exit-english,出口,salida,sortie,Ausgang,выход,출구,مخرج,false-friends,low
exito-spanish,成功,éxito,succès,Erfolg,успех,성공,نجاح,false-friends,medium
parents-english,父母,padres,parents,Eltern,родители,부모,والدان,false-friends,low
parents-french,亲戚,parents,parientes,Verwandte,родственники,친척,أقارب,false-friends,medium
assist-english,帮助,ayudar,aider,helfen,помогать,돕다,يساعد,false-friends,low
assister-french,参加,assister,asistir,beiwohnen,присутствовать,참석하다,يحضر,false-friends,medium
attend-english,参加,asistir,assister,teilnehmen,присутствовать,참석하다,يحضر,false-friends,low
atender-spanish,照顾,atender,s'occuper,bedienen,обслуживать,돌보다,يعتني,false-friends,medium
coin-english,硬币,moneda,pièce,Münze,монета,동전,عملة-معدنية,false-friends,low
coin-french,角落,coin,esquina,Ecke,угол,모퉁이,ركن,false-friends,medium
large-english,大,grande,grand,groß,большой,큰,كبير,false-friends,low
largo-spanish,长,largo,long,lang,длинный,긴,طويل,false-friends,medium
realize-english,意识到,darse-cuenta,se-rendre-compte,erkennen,понимать,깨닫다,يدرك,false-friends,low
realizar-spanish,实现,realizar,réaliser,verwirklichen,осуществлять,실현하다,يحقق,false-friends,medium
idiom-kick-bucket,去世,estirar-la-pata,casser-sa-pipe,den-Löffel-abgeben,отбросить-коньки,죽다,يموت,idiomatic,high
idiom-piece-of-cake,容易,pan-comido,du-gâteau,Kinderspiel,проще-простого,식은-죽-먹기,سهل-جدا,idiomatic,medium
idiom-raining-cats-dogs,倾盆大雨,llueve-a-cántaros,il-pleut-des-cordes,es-regnet-Bindfäden,льёт-как-из-ведра,비가-억수로-오다,تمطر-بغزارة,idiomatic,high
idiom-break-leg,祝好运,mucha-mierda,merde,Hals-und-Beinbruch,ни-пуха-ни-пера,화이팅,حظا-سعيدا,idiomatic,high
idiom-cost-arm-leg,非常昂贵,costar-un-ojo,coûter-les-yeux,Vermögen-kosten,стоить-целое-состояние,팔다리-팔-정도로-비싸다,يكلف-ثروة,idiomatic,high
idiom-spill-beans,泄密,irse-de-la-lengua,vendre-la-mèche,die-Bohnen-verschütten,проболтаться,비밀-누설,يفشي-السر,idiomatic,high
idiom-cold-feet,临阵退缩,rajarse,avoir-la-frousse,kalte-Füße,струсить,겁먹다,يتردد,idiomatic,high
idiom-hit-nail-head,一针见血,dar-en-el-clavo,mettre-le-doigt-dessus,den-Nagel-auf-den-Kopf,попасть-в-точку,정곡을-찌르다,يصيب-كبد-الحقيقة,idiomatic,high
idiom-beat-around-bush,拐弯抹角,andarse-por-las-ramas,tourner-autour-du-pot,um-den-Brei-herumreden,ходить-вокруг-да-около,빙빙-돌려-말하다,يتهرب,idiomatic,high
idiom-let-cat-out-bag,泄露秘密,descubrir-el-pastel,vendre-la-mèche,die-Katze-aus-dem-Sack,выпустить-кота-из-мешка,비밀-누설,يكشف-السر,idiomatic,high
idiom-under-weather,不舒服,pachucho,mal-fichu,angeschlagen,неважно-себя-чувствовать,몸이-안-좋다,يشعر-بتوعك,idiomatic,medium
idiom-once-blue-moon,很少,de-uvas-a-peras,tous-les-trente-six-du-mois,alle-Jubeljahre,раз-в-сто-лет,아주-드물게,نادرا-جدا,idiomatic,high
idiom-add-insult-injury,雪上加霜,echar-sal-en-la-herida,enfoncer-le-clou,Salz-in-die-Wunde,добавить-масла-в-огонь,엎친-데-덮치다,يزيد-الطين-بلة,idiomatic,high
idiom-barking-up-wrong-tree,找错对象,equivocarse-de-medio-a-medio,se-tromper-d'adresse,auf-dem-Holzweg,лаять-не-на-то-дерево,엉뚱한-데-화내다,يخطئ-الهدف,idiomatic,high
idiom-burn-bridges,断绝后路,quemar-las-naves,brûler-ses-vaisseaux,alle-Brücken-abbrechen,сжечь-мосты,다리를-끊다,يحرق-الجسور,idiomatic,high
