word,domain,type,notes
سمك,food,content,fish
بيض,food,content,
حليب,food,content,
شاي,food,content,
قهوة,food,content,
سكر,food,content,
ملح,food,content,
فاكهة,food,content,
خضار,food,content,
جبن,food,content,
زبدة,food,content,
تفاح,food,content,
مشى,actions_verbs,content,
ركض,actions_verbs,content,
قفز,actions_verbs,content,
جلس,actions_verbs,content,
وقف,actions_verbs,content,
نام,actions_verbs,content,
أكل,actions_verbs,content,
شرب,actions_verbs,content,
قرأ,actions_verbs,content,
كتب,actions_verbs,content,
تكلم,actions_verbs,content,
سمع,actions_verbs,content,
فكر,actions_verbs,content,
تعلم,actions_verbs,content,
علم,actions_verbs,content,
فوق,spatial_directional,abstract,
تحت,spatial_directional,abstract,below
يسار,spatial_directional,abstract,
يمين,spatial_directional,abstract,
أمام,spatial_directional,abstract,front
خلف,spatial_directional,abstract,back
داخل,spatial_directional,abstract,
خارج,spatial_directional,abstract,
فوق,spatial_directional,abstract,above
تحت,spatial_directional,abstract,under
قريب,spatial_directional,abstract,
بعيد,spatial_directional,abstract,
شمال,spatial_directional,abstract,
جنوب,spatial_directional,abstract,
شرق,spatial_directional,abstract,
جيد,abstract_qualities,abstract,
سيء,abstract_qualities,abstract,
كبير,abstract_qualities,abstract,
صغير,abstract_qualities,abstract,
حار,abstract_qualities,abstract,
بارد,abstract_qualities,abstract,
سريع,abstract_qualities,abstract,
بطيء,abstract_qualities,abstract,
جديد,abstract_qualities,abstract,
قديم,abstract_qualities,abstract,
قوي,abstract_qualities,abstract,
ضعيف,abstract_qualities,abstract,
جميل,abstract_qualities,abstract,
حقيقي,abstract_qualities,abstract,
كتب,morphological_ktb,morphological,root_k-t-b_wrote
كتاب,morphological_ktb,morphological,derived_book
مكتب,morphological_ktb,morphological,derived_office
كاتب,morphological_ktb,morphological,derived_writer
مكتوب,morphological_ktb,morphological,derived_written
كتابة,morphological_ktb,morphological,derived_writing
مكتبة,morphological_ktb,morphological,derived_library
كتيب,morphological_ktb,morphological,derived_booklet
اكتتب,morphological_ktb,morphological,derived_subscribe
استكتب,morphological_ktb,morphological,derived_dictate
درس,morphological_drs,morphological,root_d-r-s_studied
دراسة,morphological_drs,morphological,derived_study
مدرسة,morphological_drs,morphological,derived_school
مدرس,morphological_drs,morphological,derived_teacher
درس,morphological_drs,morphological,derived_lesson
تدريس,morphological_drs,morphological,derived_teaching
دارس,morphological_drs,morphological,derived_student
مدروس,morphological_drs,morphological,derived_studied
عمل,morphological_aml,morphological,root_ع-م-ل_worked
عمل,morphological_aml,morphological,derived_work
عامل,morphological_aml,morphological,derived_worker
معمل,morphological_aml,morphological,derived_factory
أعمال,morphological_aml,morphological,derived_works
عملية,morphological_aml,morphological,derived_operation
معاملة,morphological_aml,morphological,derived_treatment
استعمال,morphological_aml,morphological,derived_usage
