english,chinese,spanish,french,german,russian,korean,arabic
hate,恨,odio,haine,Hass,ненависть,미움,كره
happiness,快乐,felicidad,bonheur,Glück,счастье,행복,سعادة
sadness,悲伤,tristeza,tristesse,Traurigkeit,грусть,슬픔,حزن
anger,愤怒,ira,colère,Wut,гнев,분노,غضب
fear,恐惧,miedo,peur,Angst,страх,두려움,خوف
hope,希望,esperanza,espoir,Hoffnung,надежда,희망,أمل
beauty,美丽,belleza,beauté,Schönheit,красота,아름다움,جمال
truth,真相,verdad,vérité,Wahrheit,правда,진실,حقيقة
justice,正义,justicia,justice,Gerechtigkeit,справедливость,정의,عدالة
freedom,自由,libertad,liberté,Freiheit,свобода,자유,حرية
peace,和平,paz,paix,Frieden,мир,평화,سلام
bright,明亮,brillante,brillant,hell,яркий,밝은,مشرق
dark,黑暗,oscuro,sombre,dunkel,тёмный,어두운,مظلم
light,轻,claro,léger,hell,светлый,가벼운,خفيف
pale,苍白,pálido,pâle,blass,бледный,창백한,شاحب
big,大,grande,grand,groß,большой,큰,كبير
small,小,pequeño,petit,klein,маленький,작은,صغير
large,大,grande,grand,groß,большой,큰,كبير
tiny,微小,diminuto,minuscule,winzig,крошечный,아주 작은,صغير جداً
huge,巨大,enorme,énorme,riesig,огромный,거대한,ضخم
enormous,巨大,enorme,énorme,enorm,огромный,엄청난,هائل
medium,中等,mediano,moyen,mittel,средний,중간의,متوسط
thick,厚,grueso,épais,dick,толстый,두꺼운,سميك
thin,薄,delgado,mince,dünn,тонкий,얇은,رفيع
wide,宽,ancho,large,breit,широкий,넓은,واسع
narrow,窄,estrecho,étroit,schmal,узкий,좁은,ضيق
tall,高,alto,grand,groß,высокий,키 큰,طويل
short,短,bajo,court,kurz,короткий,짧은,قصير
long,长,largo,long,lang,длинный,긴,طويل
hot,热,caliente,chaud,heiß,горячий,뜨거운,حار
cold,冷,frío,froid,kalt,холодный,차가운,بارد
warm,温暖,cálido,chaud,warm,тёплый,따뜻한,دافئ
cool,凉爽,fresco,frais,kühl,прохладный,시원한,بارد
freezing,冰冻,congelado,gelé,eiskalt,ледяной,얼어붙는,متجمد
boiling,沸腾,hirviendo,bouillant,kochend,кипящий,끓는,مغلي
lukewarm,温热,tibio,tiède,lauwarm,тёплый,미지근한,فاتر
sweet,甜,dulce,sucré,süß,сладкий,단,حلو
sour,酸,agrio,aigre,sauer,кислый,신,حامض
bitter,苦,amargo,amer,bitter,горький,쓴,مر
salty,咸,salado,salé,salzig,солёный,짠,مالح
spicy,辣,picante,épicé,scharf,острый,매운,حار
mild,温和,suave,doux,mild,мягкий,순한,معتدل
sharp,尖,afilado,tranchant,scharf,острый,날카로운,حاد
bland,清淡,insípido,fade,fade,пресный,맛없는,بلا طعم
smooth,光滑,suave,lisse,glatt,гладкий,부드러운,أملس
rough,粗糙,áspero,rugueux,rau,грубый,거친,خشن
soft,软,suave,doux,weich,мягкий,부드러운,ناعم
hard,硬,duro,dur,hart,твёрдый,단단한,صلب
wet,湿的,mojado,mouillé,nass,мокрый,젖은,رطب
dry,干的,seco,sec,trocken,сухой,마른,جاف
sticky,粘的,pegajoso,collant,klebrig,липкий,�끈�끈한,لزج
slippery,滑的,resbaladizo,glissant,rutschig,скользкий,미끄러운,زلق
bumpy,颠簸的,irregular,bosselé,holprig,неровный,울퉁불퉁한,وعر
flat,平的,plano,plat,flach,плоский,평평한,مسطح
round,圆的,redondo,rond,rund,круглый,둥근,مستدير
triangular,三角形的,triangular,triangulaire,dreieckig,треугольный,삼각형의,مثلثي
curved,弯曲的,curvado,courbé,gebogen,изогнутый,구부러진,منحني
straight,直的,recto,droit,gerade,прямой,똑바른,مستقيم
pointed,尖的,puntiagudo,pointu,spitz,острый,뾰족한,مدبب
blunt,钝的,romo,émoussé,stumpf,тупой,무딘,غير حاد
deep,深的,profundo,profond,tief,глубокий,깊은,عميق
shallow,浅的,poco profundo,peu profond,flach,мелкий,얕은,ضحل
happy,高兴的,feliz,heureux,glücklich,счастливый,행복한,سعيد
sad,伤心的,triste,triste,traurig,грустный,슬픈,حزين
angry,生气的,enojado,en colère,wütend,злой,화난,غاضب
calm,冷静的,tranquilo,calme,ruhig,спокойный,차분한,هادئ
excited,兴奋的,emocionado,excité,aufgeregt,взволнованный,흥분한,متحمس
bored,无聊的,aburrido,ennuyé,gelangweilt,скучающий,지루한,ملول
nervous,紧张的,nervioso,nerveux,nervös,нервный,긴장한,عصبي
confident,自信的,confiado,confiant,selbstbewusst,уверенный,자신감 있는,واثق
shy,害羞的,tímido,timide,schüchtern,застенчивый,부끄러운,خجول
brave,勇敢的,valiente,courageux,mutig,храбрый,용감한,شجاع
afraid,害怕的,asustado,effrayé,ängstlich,боящийся,무서워하는,خائف
proud,骄傲的,orgulloso,fier,stolz,гордый,자랑스러운,فخور
ashamed,羞愧的,avergonzado,honteux,beschämt,пристыженный,부끄러워하는,خجلان
good,好的,bueno,bon,gut,хороший,좋은,جيد
bad,坏的,malo,mauvais,schlecht,плохой,나쁜,سيئ
right,对的,correcto,correct,richtig,правильный,옳은,صحيح
wrong,错的,incorrecto,faux,falsch,неправильный,틀린,خطأ
beautiful,美丽的,hermoso,beau,schön,красивый,아름다운,جميل
ugly,丑的,feo,laid,hässlich,уродливый,못생긴,قبيح
fair,公平的,justo,juste,fair,справедливый,공정한,عادل
unfair,不公平的,injusto,injuste,unfair,несправедливый,불공정한,غير عادل
honest,诚实的,honesto,honnête,ehrlich,честный,정직한,صادق
dishonest,不诚实的,deshonesto,malhonnête,unehrlich,нечестный,부정직한,غير صادق
kind,善良的,amable,gentil,freundlich,добрый,친절한,لطيف
cruel,残忍的,cruel,cruel,grausam,жестокий,잔인한,قاسي
generous,慷慨的,generoso,généreux,großzügig,щедрый,관대한,كريم
selfish,自私的,egoísta,égoïste,egoistisch,эгоистичный,이기적인,أناني
heavy,重的,pesado,lourd,schwer,тяжёлый,무거운,ثقيل
strong,强壮的,fuerte,fort,stark,сильный,강한,قوي
weak,弱的,débil,faible,schwach,слабый,약한,ضعيف
fast,快的,rápido,rapide,schnell,быстрый,빠른,سريع
slow,慢的,lento,lent,langsam,медленный,느린,بطيء
loud,大声的,ruidoso,fort,laut,громкий,시끄러운,عالي
quiet,安静的,silencioso,silencieux,leise,тихий,조용한,هادئ
high,高的,alto,haut,hoch,высокий,높은,عالي
low,低的,bajo,bas,niedrig,низкий,낮은,منخفض
clean,干净,limpio,propre,sauber,чистый,깨끗한,نظيف
dirty,脏,sucio,sale,schmutzig,грязный,더러운,متسخ
new,新,nuevo,nouveau,neu,новый,새로운,جديد
old,老,viejo,vieux,alt,старый,오래된,قديم
fresh,新鲜,fresco,frais,frisch,свежий,신선한,طازج
stale,不新鲜,rancio,rassis,alt,несвежий,상한,فاسد
smart,聪明,inteligente,intelligent,klug,умный,똑똑한,ذكي
stupid,愚蠢,estúpido,stupide,dumm,глупый,바보같은,غبي
wise,明智,sabio,sage,weise,мудрый,현명한,حكيم
foolish,愚蠢,tonto,insensé,töricht,глупый,어리석은,أحمق
clever,聪明,astuto,intelligent,geschickt,умный,영리한,ماهر
simple,简单,simple,simple,einfach,простой,간단한,بسيط
complex,复杂,complejo,complexe,komplex,сложный,복잡한,معقد
easy,容易,fácil,facile,einfach,лёгкий,쉬운,سهل
difficult,困难,difícil,difficile,schwierig,трудный,어려운,صعب
clear,清楚,claro,clair,klar,ясный,명확한,واضح
confusing,令人困惑,confuso,confus,verwirrend,запутанный,혼란스러운,محير
obvious,明显,obvio,évident,offensichtlich,очевидный,명백한,واضح
subtle,微妙,sutil,subtil,subtil,тонкий,미묘한,خفي
run,跑,correr,courir,laufen,бежать,달리다,يجري
jump,跳,saltar,sauter,springen,прыгать,뛰다,يقفز
fly,飞,volar,voler,fliegen,летать,날다,يطير
swim,游泳,nadar,nager,schwimmen,плавать,수영하다,يسبح
crawl,爬,gatear,ramper,kriechen,ползать,기어가다,يزحف
climb,爬,subir,grimper,klettern,лазить,오르다,يتسلق
fall,掉,caer,tomber,fallen,падать,떨어지다,يسقط
rise,上升,subir,monter,steigen,подниматься,올라가다,يرتفع
move,移动,mover,bouger,bewegen,двигаться,움직이다,يتحرك
stop,停止,parar,arrêter,stoppen,останавливаться,멈추다,يتوقف
go,去,ir,aller,gehen,идти,가다,يذهب
come,来,venir,venir,kommen,приходить,오다,يأتي
enter,进入,entrar,entrer,eintreten,входить,들어가다,يدخل
exit,退出,salir,sortir,verlassen,выходить,나가다,يخرج
approach,接近,acercarse,approcher,sich nähern,приближаться,접근하다,يقترب
retreat,撤退,retirarse,reculer,sich zurückziehen,отступать,후퇴하다,يتراجع
give,给,dar,donner,geben,давать,주다,يعطي
take,拿,tomar,prendre,nehmen,брать,가져가다,يأخذ
put,放,poner,mettre,legen,класть,놓다,يضع
get,得到,obtener,obtenir,bekommen,получать,얻다,يحصل
send,发送,enviar,envoyer,senden,посылать,보내다,يرسل
receive,收到,recibir,recevoir,erhalten,получать,받다,يستقبل
bring,带来,traer,apporter,bringen,приносить,가져오다,يجلب
carry,携带,llevar,porter,tragen,нести,나르다,يحمل
throw,扔,lanzar,lancer,werfen,бросать,던지다,يرمي
catch,抓住,atrapar,attraper,fangen,ловить,잡다,يمسك
push,推,empujar,pousser,drücken,толкать,밀다,يدفع
pull,拉,tirar,tirer,ziehen,тянуть,당기다,يسحب
lift,举起,levantar,soulever,heben,поднимать,들어올리다,يرفع
drop,掉落,soltar,laisser tomber,fallen lassen,ронять,떨어뜨리다,يسقط
speak,说话,hablar,parler,sprechen,говорить,말하다,يتكلم
talk,说话,hablar,parler,sprechen,говорить,말하다,يتحدث
say,说,decir,dire,sagen,сказать,말하다,يقول
tell,告诉,contar,raconter,erzählen,рассказывать,말하다,يخبر
ask,问,preguntar,demander,fragen,спрашивать,묻다,يسأل
answer,回答,responder,répondre,antworten,отвечать,대답하다,يجيب
whisper,低声说,susurrar,chuchoter,flüstern,шептать,속삭이다,يهمس
shout,喊,gritar,crier,schreien,кричать,소리치다,يصرخ
sing,唱歌,cantar,chanter,singen,петь,노래하다,يغني
write,写,escribir,écrire,schreiben,писать,쓰다,يكتب
read,读,leer,lire,lesen,читать,읽다,يقرأ
listen,听,escuchar,écouter,zuhören,слушать,듣다,يستمع
hear,听到,oír,entendre,hören,слышать,듣다,يسمع
think,想,pensar,penser,denken,думать,생각하다,يفكر
know,知道,saber,savoir,wissen,знать,알다,يعرف
understand,理解,entender,comprendre,verstehen,понимать,이해하다,يفهم
remember,记住,recordar,se souvenir,erinnern,помнить,기억하다,يتذكر
forget,忘记,olvidar,oublier,vergessen,забывать,잊다,ينسى
learn,学习,aprender,apprendre,lernen,учиться,배우다,يتعلم
believe,相信,creer,croire,glauben,верить,믿다,يؤمن
doubt,怀疑,dudar,douter,zweifeln,сомневаться,의심하다,يشك
imagine,想象,imaginar,imaginer,vorstellen,представлять,상상하다,يتخيل
dream,梦想,soñar,rêver,träumen,мечтать,꿈꾸다,يحلم
decide,决定,decidir,décider,entscheiden,решать,결정하다,يقرر
choose,选择,elegir,choisir,wählen,выбирать,선택하다,يختار
plan,计划,planear,planifier,planen,планировать,계획하다,يخطط
solve,解决,resolver,résoudre,lösen,решать,해결하다,يحل
see,看见,ver,voir,sehen,видеть,보다,يرى
look,看,mirar,regarder,schauen,смотреть,보다,ينظر
watch,观看,ver,regarder,zusehen,наблюдать,보다,يراقب
observe,观察,observar,observer,beobachten,наблюдать,관찰하다,يلاحظ
notice,注意到,notar,remarquer,bemerken,замечать,알아차리다,ينتبه
feel,感觉,sentir,sentir,fühlen,чувствовать,느끼다,يشعر
touch,触摸,tocar,toucher,berühren,трогать,만지다,يلمس
taste,尝,probar,goûter,schmecken,пробовать,맛보다,يتذوق
smell,闻,oler,sentir,riechen,пахнуть,냄새맡다,يشم
sense,感知,percibir,percevoir,spüren,чувствовать,느끼다,يحس
like,喜欢,gustar,aimer,mögen,нравиться,좋아하다,يحب
dislike,不喜欢,disgustar,ne pas aimer,nicht mögen,не нравиться,싫어하다,يكره
enjoy,享受,disfrutar,apprécier,genießen,наслаждаться,즐기다,يستمتع
worry,担心,preocuparse,s'inquiéter,sich sorgen,беспокоиться,걱정하다,يقلق
trust,信任,confiar,faire confiance,vertrauen,доверять,믿다,يثق
admire,钦佩,admirar,admirer,bewundern,восхищаться,존경하다,يعجب
respect,尊重,respetar,respecter,respektieren,уважать,존경하다,يحترم
appreciate,欣赏,apreciar,apprécier,schätzen,ценить,감사하다,يقدر
meet,见面,conocer,rencontrer,treffen,встречать,만나다,يلتقي
visit,拜访,visitar,visiter,besuchen,посещать,방문하다,يزور
help,帮助,ayudar,aider,helfen,помогать,돕다,يساعد
support,支持,apoyar,soutenir,unterstützen,поддерживать,지지하다,يدعم
cooperate,合作,cooperar,coopérer,zusammenarbeiten,сотрудничать,협력하다,يتعاون
compete,竞争,competir,concourir,konkurrieren,соревноваться,경쟁하다,ينافس
fight,打架,pelear,se battre,kämpfen,драться,싸우다,يقاتل
argue,争论,discutir,se disputer,streiten,спорить,논쟁하다,يجادل
agree,同意,estar de acuerdo,être d'accord,zustimmen,соглашаться,동의하다,يوافق
disagree,不同意,no estar de acuerdo,être en désaccord,widersprechen,не соглашаться,반대하다,يختلف
share,分享,compartir,partager,teilen,делиться,공유하다,يشارك
join,加入,unirse,rejoindre,beitreten,присоединяться,참가하다,ينضم
leave,离开,salir,partir,verlassen,уходить,떠나다,يغادر
make,做,hacer,faire,machen,делать,만들다,يصنع
create,创造,crear,créer,erschaffen,создавать,창조하다,ينشئ
build,建造,construir,construire,bauen,строить,건설하다,يبني
construct,建设,construir,construire,konstruieren,строить,건설하다,يشيد
destroy,破坏,destruir,détruire,zerstören,разрушать,파괴하다,يدمر
break,打破,romper,casser,brechen,ломать,깨뜨리다,يكسر
tear,撕,rasgar,déchirer,reißen,рвать,찢다,يمزق
cut,切,cortar,couper,schneiden,резать,자르다,يقطع
fix,修理,arreglar,réparer,reparieren,починить,고치다,يصلح
repair,修复,reparar,réparer,reparieren,ремонтировать,수리하다,يصلح
wash,洗,lavar,laver,waschen,мыть,씻다,يغسل
eat,吃,comer,manger,essen,есть,먹다,يأكل
drink,喝,beber,boire,trinken,пить,마시다,يشرب
sleep,睡觉,dormir,dormir,schlafen,спать,자다,ينام
wake,醒来,despertar,réveiller,aufwachen,просыпаться,깨다,يستيقظ
breathe,呼吸,respirar,respirer,atmen,дышать,숨쉬다,يتنفس
laugh,笑,reír,rire,lachen,смеяться,웃다,يضحك
cry,哭,llorar,pleurer,weinen,плакать,울다,يبكي
smile,微笑,sonreír,sourire,lächeln,улыбаться,미소짓다,يبتسم
cough,咳嗽,toser,tousser,husten,кашлять,기침하다,يسعل
sneeze,打喷嚏,estornudar,éternuer,niesen,чихать,재채기하다,يعطس
become,变成,convertirse,devenir,werden,становиться,되다,يصبح
turn,转,girar,tourner,drehen,поворачивать,돌리다,يدور
grow,长大,crecer,grandir,wachsen,расти,자라다,ينمو
shrink,收缩,encogerse,rétrécir,schrumpfen,сжиматься,줄어들다,يتقلص
open,打开,abrir,ouvrir,öffnen,открывать,열다,يفتح
close,关闭,cerrar,fermer,schließen,закрывать,닫다,يغلق
start,开始,empezar,commencer,starten,начинать,시작하다,يبدأ
begin,开始,comenzar,commencer,beginnen,начинать,시작하다,يبدأ
finish,完成,terminar,finir,beenden,заканчивать,끝내다,ينهي
end,结束,acabar,finir,enden,заканчивать,끝나다,ينتهي
continue,继续,continuar,continuer,fortsetzen,продолжать,계속하다,يستمر
cause,引起,causar,causer,verursachen,вызывать,야기하다,يسبب
force,强迫,forzar,forcer,zwingen,заставлять,강요하다,يجبر
let,让,dejar,laisser,lassen,позволять,허락하다,يدع
allow,允许,permitir,permettre,erlauben,позволять,허용하다,يسمح
prevent,防止,prevenir,empêcher,verhindern,предотвращать,방지하다,يمنع
enable,启用,habilitar,permettre,ermöglichen,включать,가능하게하다,يمكن
disable,禁用,deshabilitar,désactiver,deaktivieren,отключать,무력화하다,يعطل
influence,影响,influir,influencer,beeinflussen,влиять,영향주다,يؤثر
affect,影响,afectar,affecter,beeinflussen,влиять,영향미치다,يؤثر
control,控制,controlar,contrôler,kontrollieren,контролировать,통제하다,يتحكم
