chinese,english,german
唱,sing,sing
跳,dance,dance
玩,play,play
工,work,work
休,rest,rest
睡,sleep,sleep
书,book,book
笔,pen,pen
纸,paper,paper
墨,ink,ink
字,character,character
词,word,word
句,sentence,sentence
文,writing,writing
诗,poem,poem
歌,song,song
画,painting,painting
图,picture,picture
桌,table,table
椅,chair,chair
床,bed,bed
柜,cabinet,cabinet
门,door,door
窗,window,window
墙,wall,wall
房,house,house
屋,room,room
楼,building,building
塔,tower,tower
桥,bridge,bridge
路,road,road
街,street,street
巷,alley,alley
园,garden,garden
场,field,field
车,car,car
船,boat,boat
飞,plane,plane
马,horse,horse
牛,cow,cow
羊,sheep,sheep
猪,pig,pig
狗,dog,dog
猫,cat,cat
鸟,bird,bird
鱼,fish,fish
虫,insect,insect
蛇,snake,snake
龙,dragon,dragon
虎,tiger,tiger
象,elephant,elephant
狮,lion,lion
熊,bear,bear
鹿,deer,deer
兔,rabbit,rabbit
鼠,mouse,mouse
鸡,chicken,chicken
鸭,duck,duck
鹅,goose,goose
手,hand,hand
脚,foot,foot
头,head,head
发,hair,hair
脸,face,face
眼,eye,eye
耳,ear,ear
鼻,nose,nose
口,mouth,mouth
舌,tongue,tongue
牙,tooth,tooth
颈,neck,neck
肩,shoulder,shoulder
臂,arm,arm
肘,elbow,elbow
腕,wrist,wrist
指,finger,finger
掌,palm,palm
背,back,back
胸,chest,chest
腹,belly,belly
腰,waist,waist
腿,leg,leg
膝,knee,knee
踝,ankle,ankle
趾,toe,toe
心,heart,heart
肺,lung,lung
肝,liver,liver
胃,stomach,stomach
肠,intestine,intestine
骨,bone,bone
肉,flesh,flesh
血,blood,blood
皮,skin,skin
饭,rice,rice
面,noodle,noodle
菜,vegetable,vegetable
肉,meat,meat
鱼,fish,fish
蛋,egg,egg
奶,milk,milk
茶,tea,tea
酒,wine,wine
油,oil,oil
盐,salt,salt
糖,sugar,sugar
醋,vinegar,vinegar
酱,sauce,sauce
汤,soup,soup
饼,cake,cake
糕,pastry,pastry
果,fruit,fruit
瓜,melon,melon
豆,bean,bean
春,spring,spring
夏,summer,summer
秋,autumn,autumn
冬,winter,winter
年,year,year
月,month,month
日,day,day
时,hour,hour
分,minute,minute
秒,second,second
今,today,today
昨,yesterday,yesterday
明,tomorrow,tomorrow
早,morning,morning
午,noon,noon
晚,evening,evening
夜,night,night
