word,domain,type,notes,english_original
分钟,time_temporal,content,,minute
秒,time_temporal,content,,second
早晨,time_temporal,content,,morning
下午,time_temporal,content,,afternoon
傍晚,time_temporal,content,,evening
夜晚,time_temporal,content,,night
今天,time_temporal,content,,today
昨天,time_temporal,content,,yesterday
明天,time_temporal,content,,tomorrow
春天,time_temporal,content,,spring
夏天,time_temporal,content,,summer
冬天,time_temporal,content,,winter
水,nature_elements,content,,water
火,nature_elements,content,,fire
土,nature_elements,content,,earth
空气,nature_elements,content,,air
风,nature_elements,content,,wind
雨,nature_elements,content,,rain
雪,nature_elements,content,,snow
太阳,nature_elements,content,,sun
月亮,nature_elements,content,,moon
星星,nature_elements,content,,star
山,nature_elements,content,,mountain
河,nature_elements,content,,river
海洋,nature_elements,content,,ocean
云,nature_elements,content,,cloud
森林,nature_elements,content,,forest
面包,food,content,,bread
米饭,food,content,,rice
肉,food,content,,meat
蛋,food,content,,egg
牛奶,food,content,,milk
茶,food,content,,tea
咖啡,food,content,,coffee
糖,food,content,,sugar
盐,food,content,,salt
水果,food,content,,fruit
蔬菜,food,content,,vegetable
奶酪,food,content,,cheese
黄油,food,content,,butter
苹果,food,content,,apple
走,actions_verbs,content,,walk
跑,actions_verbs,content,,run
跳,actions_verbs,content,,jump
坐,actions_verbs,content,,sit
站,actions_verbs,content,,stand
睡,actions_verbs,content,,sleep
吃,actions_verbs,content,,eat
喝,actions_verbs,content,,drink
读,actions_verbs,content,,read
写,actions_verbs,content,,write
说,actions_verbs,content,,speak
听,actions_verbs,content,,listen
想,actions_verbs,content,,think
学,actions_verbs,content,,learn
教,actions_verbs,content,,teach
上,spatial_directional,abstract,,up
下,spatial_directional,abstract,,down
左,spatial_directional,abstract,,left
右,spatial_directional,abstract,,right
前,spatial_directional,abstract,,front
后,spatial_directional,abstract,,back
里,spatial_directional,abstract,,inside
外,spatial_directional,abstract,,outside
上面,spatial_directional,abstract,,above
下面,spatial_directional,abstract,,below
近,spatial_directional,abstract,,near
远,spatial_directional,abstract,,far
北,spatial_directional,abstract,,north
南,spatial_directional,abstract,,south
东,spatial_directional,abstract,,east
好,abstract_qualities,abstract,,good
坏,abstract_qualities,abstract,,bad
大,abstract_qualities,abstract,,big
小,abstract_qualities,abstract,,small
热,abstract_qualities,abstract,,hot
冷,abstract_qualities,abstract,,cold
快,abstract_qualities,abstract,,fast
慢,abstract_qualities,abstract,,slow
新,abstract_qualities,abstract,,new
旧,abstract_qualities,abstract,,old
强,abstract_qualities,abstract,,strong
弱,abstract_qualities,abstract,,weak
美丽,abstract_qualities,abstract,,beautiful
真实,abstract_qualities,abstract,,true
工作,morphological_work,morphological,root,work
工人,morphological_work,morphological,derived,worker
工作中,morphological_work,morphological,derived,working
工作过,morphological_work,morphological,derived,worked
工作场所,morphological_work,morphological,derived,workplace
单位,morphological_work,morphological,derived,workplace
工作日,morphological_work,morphological,derived,workday
作业,morphological_work,morphological,derived,homework
框架,morphological_work,morphological,derived,framework
网络,morphological_work,morphological,derived,network
艺术品,morphological_work,morphological,derived,artwork
团队合作,morphological_work,morphological,derived,teamwork
金属制品,morphological_work,morphological,derived,metalwork
光,morphological_light,morphological,root,light
打火机,morphological_light,morphological,derived,lighter
变亮,morphological_light,morphological,derived,lighten
日光,morphological_light,morphological,derived,daylight
阳光,morphological_light,morphological,derived,sunlight
月光,morphological_light,morphological,derived,moonlight
星光,morphological_light,morphological,derived,starlight
闪电,morphological_light,morphological,derived,lightning
显示,morphological_light,morphological,derived,highlight
手电筒,morphological_light,morphological,derived,flashlight
书,morphological_book,morphological,root,book
书店,morphological_book,morphological,derived,bookstore
书签,morphological_book,morphological,derived,bookmark
书架,morphological_book,morphological,derived,bookshelf
教科书,morphological_book,morphological,derived,textbook
笔记本,morphological_book,morphological,derived,notebook
手册,morphological_book,morphological,derived,handbook
书柜,morphological_book,morphological,derived,bookcase
