word,domain,type,notes
lila,colors,abstract,perceptual_spectrum
rosa,colors,abstract,perceptual_spectrum
braun,colors,abstract,perceptual_spectrum
schwarz,colors,abstract,perceptual_spectrum
weiß,colors,abstract,perceptual_spectrum
grau,colors,abstract,perceptual_spectrum
golden,colors,abstract,perceptual_spectrum
silbern,colors,abstract,perceptual_spectrum
violett,colors,abstract,perceptual_spectrum
Vater,family_kinship,content,
Mutter,family_kinship,content,
Sohn,family_kinship,content,
Tochter,family_kinship,content,
Bruder,family_kinship,content,
Schwester,family_kinship,content,
Eltern,family_kinship,content,
Kind,family_kinship,content,
Onkel,family_kinship,content,
Tante,family_kinship,content,
Cousin,family_kinship,content,
Großvater,family_kinship,content,
Großmutter,family_kinship,content,
Ehemann,family_kinship,content,
Ehefrau,family_kinship,content,
Neffe,family_kinship,content,
Hund,animals,content,
Katze,animals,content,
Vogel,animals,content,
Fisch,animals,content,
Pferd,animals,content,
Kuh,animals,content,
Schaf,animals,content,
Schwein,animals,content,
Huhn,animals,content,
Ente,animals,content,
Hase,animals,content,
Maus,animals,content,
Tiger,animals,content,
Löwe,animals,content,
Elefant,animals,content,
Kopf,body_parts,content,
Auge,body_parts,content,
Nase,body_parts,content,
Mund,body_parts,content,
Ohr,body_parts,content,
Hand,body_parts,content,
Fuß,body_parts,content,
Bein,body_parts,content,
Arm,body_parts,content,
Herz,body_parts,content,
Lunge,body_parts,content,
Magen,body_parts,content,
Gehirn,body_parts,content,
Knochen,body_parts,content,
Finger,body_parts,content,
glücklich,emotions,content,
traurig,emotions,content,
wütend,emotions,content,
Angst,emotions,content,
Liebe,emotions,content,
Hass,emotions,content,
Freude,emotions,content,
Kummer,emotions,content,
ängstlich,emotions,content,
ruhig,emotions,content,
aufgeregt,emotions,content,
überrascht,emotions,content,
besorgt,emotions,content,
stolz,emotions,content,
beschämt,emotions,content,
Jahr,time_temporal,content,
Monat,time_temporal,content,
Tag,time_temporal,content,
Stunde,time_temporal,content,
Minute,time_temporal,content,
Sekunde,time_temporal,content,
Morgen,time_temporal,content,
Nachmittag,time_temporal,content,
Abend,time_temporal,content,
Nacht,time_temporal,content,
heute,time_temporal,content,
gestern,time_temporal,content,
morgen,time_temporal,content,tomorrow
Frühling,time_temporal,content,
Sommer,time_temporal,content,
Winter,time_temporal,content,
Wasser,nature_elements,content,
Feuer,nature_elements,content,
Erde,nature_elements,content,
Luft,nature_elements,content,
Wind,nature_elements,content,
Regen,nature_elements,content,
Schnee,nature_elements,content,
Sonne,nature_elements,content,
Mond,nature_elements,content,
Stern,nature_elements,content,
Berg,nature_elements,content,
Fluss,nature_elements,content,
Ozean,nature_elements,content,
Wolke,nature_elements,content,
Wald,nature_elements,content,
Brot,food,content,
Reis,food,content,
Fleisch,food,content,
Fisch,food,content,fish
Ei,food,content,
Milch,food,content,
Tee,food,content,
Kaffee,food,content,
Zucker,food,content,
Salz,food,content,
Obst,food,content,
Gemüse,food,content,
Käse,food,content,
Butter,food,content,
Apfel,food,content,
gehen,actions_verbs,content,
laufen,actions_verbs,content,
springen,actions_verbs,content,
sitzen,actions_verbs,content,
stehen,actions_verbs,content,
schlafen,actions_verbs,content,
essen,actions_verbs,content,
trinken,actions_verbs,content,
lesen,actions_verbs,content,
schreiben,actions_verbs,content,
sprechen,actions_verbs,content,
hören,actions_verbs,content,
denken,actions_verbs,content,
lernen,actions_verbs,content,
lehren,actions_verbs,content,
oben,spatial_directional,abstract,
unten,spatial_directional,abstract,
links,spatial_directional,abstract,
rechts,spatial_directional,abstract,
vorne,spatial_directional,abstract,
hinten,spatial_directional,abstract,
innen,spatial_directional,abstract,
außen,spatial_directional,abstract,
über,spatial_directional,abstract,above
unter,spatial_directional,abstract,below
nah,spatial_directional,abstract,
weit,spatial_directional,abstract,
Norden,spatial_directional,abstract,
Süden,spatial_directional,abstract,
Osten,spatial_directional,abstract,
gut,abstract_qualities,abstract,
schlecht,abstract_qualities,abstract,
groß,abstract_qualities,abstract,
klein,abstract_qualities,abstract,
heiß,abstract_qualities,abstract,
kalt,abstract_qualities,abstract,
schnell,abstract_qualities,abstract,
langsam,abstract_qualities,abstract,
neu,abstract_qualities,abstract,
alt,abstract_qualities,abstract,
stark,abstract_qualities,abstract,
schwach,abstract_qualities,abstract,
schön,abstract_qualities,abstract,
wahr,abstract_qualities,abstract,
Arbeit,morphological_arbeit,morphological,root
arbeiten,morphological_arbeit,morphological,derived_verb
Arbeiter,morphological_arbeit,morphological,derived_agent
Arbeiterin,morphological_arbeit,morphological,derived_agent_fem
arbeitend,morphological_arbeit,morphological,derived_participle
Arbeitsplatz,morphological_arbeit,morphological,derived_compound_workplace
Arbeitstag,morphological_arbeit,morphological,derived_compound_workday
Hausarbeit,morphological_arbeit,morphological,derived_compound_homework
Teamarbeit,morphological_arbeit,morphological,derived_compound_teamwork
Kunstwerk,morphological_arbeit,morphological,derived_compound_artwork
Licht,morphological_licht,morphological,root
leuchten,morphological_licht,morphological,derived_verb
Leuchter,morphological_licht,morphological,derived_noun
Tageslicht,morphological_licht,morphological,derived_compound_daylight
Sonnenlicht,morphological_licht,morphological,derived_compound_sunlight
Mondlicht,morphological_licht,morphological,derived_compound_moonlight
Sternenlicht,morphological_licht,morphological,derived_compound_starlight
Blitz,morphological_licht,morphological,derived_lightning
Taschenlampe,morphological_licht,morphological,derived_compound_flashlight
Buch,morphological_buch,morphological,root
Bücher,morphological_buch,morphological,derived_plural
Buchhandlung,morphological_buch,morphological,derived_compound_bookstore
Buchladen,morphological_buch,morphological,derived_compound_bookshop
Bücherregal,morphological_buch,morphological,derived_compound_bookshelf
Lehrbuch,morphological_buch,morphological,derived_compound_textbook
Notizbuch,morphological_buch,morphological,derived_compound_notebook
Handbuch,morphological_buch,morphological,derived_compound_handbook
Haus,morphological_haus,morphological,root_compound_base
Haustür,morphological_haus,morphological,derived_compound_door
Hausarbeit,morphological_haus,morphological,derived_compound_housework
Haustier,morphological_haus,morphological,derived_compound_pet
Hausfrau,morphological_haus,morphological,derived_compound_housewife
Hausmann,morphological_haus,morphological,derived_compound_househusband
Kaufhaus,morphological_haus,morphological,derived_compound_department_store
Krankenhaus,morphological_haus,morphological,derived_compound_hospital
Rathaus,morphological_haus,morphological,derived_compound_city_hall
