word,domain,type,note
完全,QUANTIFIERS,determiner,quantity
总,QUANTIFIERS,determiner,quantity
都,QUANTIFIERS,determiner,quantity
皆,QUANTIFIERS,determiner,quantity
全,QUANTIFIERS,determiner,quantity
许多,QUANTIFIERS,determiner,quantity
很多,QUANTIFIERS,determiner,quantity
大量,QUANTIFIERS,determiner,quantity
众多,QUANTIFIERS,determiner,quantity
丰富,QUANTIFIERS,determiner,quantity
充足,QUANTIFIERS,determiner,quantity
可观,QUANTIFIERS,determiner,quantity
数量,QUANTIFIERS,determiner,quantity
多数,QUANTIFIERS,determiner,quantity
众,QUANTIFIERS,determiner,quantity
少,QUANTIFIERS,determiner,quantity
稀少,QUANTIFIERS,determiner,quantity
很少,QUANTIFIERS,determiner,quantity
少量,QUANTIFIERS,determiner,quantity
微量,QUANTIFIERS,determiner,quantity
不足,QUANTIFIERS,determiner,quantity
有限,QUANTIFIERS,determiner,quantity
缺乏,QUANTIFIERS,determiner,quantity
寥寥,QUANTIFIERS,determiner,quantity
罕见,QUANTIFIERS,determiner,quantity
好,EVALUATORS,adjective,evaluation
良好,EVALUATORS,adjective,evaluation
优秀,EVALUATORS,adjective,evaluation
美好,EVALUATORS,adjective,evaluation
有益,EVALUATORS,adjective,evaluation
正面,EVALUATORS,adjective,evaluation
积极,EVALUATORS,adjective,evaluation
优良,EVALUATORS,adjective,evaluation
善良,EVALUATORS,adjective,evaluation
优质,EVALUATORS,adjective,evaluation
坏,EVALUATORS,adjective,evaluation
不好,EVALUATORS,adjective,evaluation
差,EVALUATORS,adjective,evaluation
恶劣,EVALUATORS,adjective,evaluation
有害,EVALUATORS,adjective,evaluation
负面,EVALUATORS,adjective,evaluation
不利,EVALUATORS,adjective,evaluation
错误,EVALUATORS,adjective,evaluation
邪恶,EVALUATORS,adjective,evaluation
缺陷,EVALUATORS,adjective,evaluation
大,DESCRIPTORS,adjective,property
巨大,DESCRIPTORS,adjective,property
庞大,DESCRIPTORS,adjective,property
宽大,DESCRIPTORS,adjective,property
广大,DESCRIPTORS,adjective,property
浩大,DESCRIPTORS,adjective,property
辽阔,DESCRIPTORS,adjective,property
重大,DESCRIPTORS,adjective,property
显著,DESCRIPTORS,adjective,property
可观,DESCRIPTORS,adjective,property
小,DESCRIPTORS,adjective,property
微小,DESCRIPTORS,adjective,property
细小,DESCRIPTORS,adjective,property
微型,DESCRIPTORS,adjective,property
轻微,DESCRIPTORS,adjective,property
少量,DESCRIPTORS,adjective,property
渺小,DESCRIPTORS,adjective,property
细微,DESCRIPTORS,adjective,property
微不足道,DESCRIPTORS,adjective,property
袖珍,DESCRIPTORS,adjective,property
想,MENTAL_PREDICATES,verb,cognition
思考,MENTAL_PREDICATES,verb,cognition
认为,MENTAL_PREDICATES,verb,cognition
相信,MENTAL_PREDICATES,verb,cognition
考虑,MENTAL_PREDICATES,verb,cognition
思索,MENTAL_PREDICATES,verb,cognition
思维,MENTAL_PREDICATES,verb,cognition
思想,MENTAL_PREDICATES,verb,cognition
心想,MENTAL_PREDICATES,verb,cognition
琢磨,MENTAL_PREDICATES,verb,cognition
知道,MENTAL_PREDICATES,verb,cognition
知识,MENTAL_PREDICATES,verb,cognition
了解,MENTAL_PREDICATES,verb,cognition
理解,MENTAL_PREDICATES,verb,cognition
明白,MENTAL_PREDICATES,verb,cognition
认识,MENTAL_PREDICATES,verb,cognition
意识到,MENTAL_PREDICATES,verb,cognition
察觉,MENTAL_PREDICATES,verb,cognition
熟悉,MENTAL_PREDICATES,verb,cognition
懂得,MENTAL_PREDICATES,verb,cognition
想要,MENTAL_PREDICATES,verb,cognition
欲望,MENTAL_PREDICATES,verb,cognition
希望,MENTAL_PREDICATES,verb,cognition
渴望,MENTAL_PREDICATES,verb,cognition
需要,MENTAL_PREDICATES,verb,cognition
愿望,MENTAL_PREDICATES,verb,cognition
期望,MENTAL_PREDICATES,verb,cognition
意愿,MENTAL_PREDICATES,verb,cognition
志向,MENTAL_PREDICATES,verb,cognition
动机,MENTAL_PREDICATES,verb,cognition
不想,MENTAL_PREDICATES,verb,cognition
不愿,MENTAL_PREDICATES,verb,cognition
不要,MENTAL_PREDICATES,verb,cognition
拒绝,MENTAL_PREDICATES,verb,cognition
反对,MENTAL_PREDICATES,verb,cognition
抗拒,MENTAL_PREDICATES,verb,cognition
回避,MENTAL_PREDICATES,verb,cognition
不情愿,MENTAL_PREDICATES,verb,cognition
厌恶,MENTAL_PREDICATES,verb,cognition
感觉,MENTAL_PREDICATES,verb,cognition
感受,MENTAL_PREDICATES,verb,cognition
情感,MENTAL_PREDICATES,verb,cognition
知觉,MENTAL_PREDICATES,verb,cognition
触觉,MENTAL_PREDICATES,verb,cognition
意识,MENTAL_PREDICATES,verb,cognition
情绪,MENTAL_PREDICATES,verb,cognition
心情,MENTAL_PREDICATES,verb,cognition
印象,MENTAL_PREDICATES,verb,cognition
敏感,MENTAL_PREDICATES,verb,cognition
看,MENTAL_PREDICATES,verb,cognition
看见,MENTAL_PREDICATES,verb,cognition
视觉,MENTAL_PREDICATES,verb,cognition
观察,MENTAL_PREDICATES,verb,cognition
观看,MENTAL_PREDICATES,verb,cognition
目睹,MENTAL_PREDICATES,verb,cognition
注意,MENTAL_PREDICATES,verb,cognition
发现,MENTAL_PREDICATES,verb,cognition
检查,MENTAL_PREDICATES,verb,cognition
视力,MENTAL_PREDICATES,verb,cognition
听,MENTAL_PREDICATES,verb,cognition
听见,MENTAL_PREDICATES,verb,cognition
声音,MENTAL_PREDICATES,verb,cognition
听觉,MENTAL_PREDICATES,verb,cognition
音频,MENTAL_PREDICATES,verb,cognition
耳朵,MENTAL_PREDICATES,verb,cognition
察觉,MENTAL_PREDICATES,verb,cognition
聆听,MENTAL_PREDICATES,verb,cognition
音响,MENTAL_PREDICATES,verb,cognition
噪音,MENTAL_PREDICATES,verb,cognition
说,SPEECH,verb,communication
讲,SPEECH,verb,communication
告诉,SPEECH,verb,communication
表达,SPEECH,verb,communication
陈述,SPEECH,verb,communication
声明,SPEECH,verb,communication
提及,SPEECH,verb,communication
沟通,SPEECH,verb,communication
发音,SPEECH,verb,communication
叙述,SPEECH,verb,communication
词,SPEECH,verb,communication
词语,SPEECH,verb,communication
话,SPEECH,verb,communication
语言,SPEECH,verb,communication
词汇,SPEECH,verb,communication
用语,SPEECH,verb,communication
措辞,SPEECH,verb,communication
言辞,SPEECH,verb,communication
术语,SPEECH,verb,communication
字,SPEECH,verb,communication
真,SPEECH,verb,communication
真实,SPEECH,verb,communication
事实,SPEECH,verb,communication
实际,SPEECH,verb,communication
真相,SPEECH,verb,communication
真理,SPEECH,verb,communication
正确,SPEECH,verb,communication
准确,SPEECH,verb,communication
诚实,SPEECH,verb,communication
真诚,SPEECH,verb,communication
做,ACTIONS_EVENTS_MOVEMENT,verb,action
行动,ACTIONS_EVENTS_MOVEMENT,verb,action
执行,ACTIONS_EVENTS_MOVEMENT,verb,action
实施,ACTIONS_EVENTS_MOVEMENT,verb,action
完成,ACTIONS_EVENTS_MOVEMENT,verb,action
进行,ACTIONS_EVENTS_MOVEMENT,verb,action
实践,ACTIONS_EVENTS_MOVEMENT,verb,action
操作,ACTIONS_EVENTS_MOVEMENT,verb,action
行为,ACTIONS_EVENTS_MOVEMENT,verb,action
活动,ACTIONS_EVENTS_MOVEMENT,verb,action
发生,ACTIONS_EVENTS_MOVEMENT,verb,action
出现,ACTIONS_EVENTS_MOVEMENT,verb,action
产生,ACTIONS_EVENTS_MOVEMENT,verb,action
形成,ACTIONS_EVENTS_MOVEMENT,verb,action
展开,ACTIONS_EVENTS_MOVEMENT,verb,action
事件,ACTIONS_EVENTS_MOVEMENT,verb,action
现象,ACTIONS_EVENTS_MOVEMENT,verb,action
情况,ACTIONS_EVENTS_MOVEMENT,verb,action
事情,ACTIONS_EVENTS_MOVEMENT,verb,action
状况,ACTIONS_EVENTS_MOVEMENT,verb,action
移动,ACTIONS_EVENTS_MOVEMENT,verb,action
运动,ACTIONS_EVENTS_MOVEMENT,verb,action
转移,ACTIONS_EVENTS_MOVEMENT,verb,action
迁移,ACTIONS_EVENTS_MOVEMENT,verb,action
行进,ACTIONS_EVENTS_MOVEMENT,verb,action
前进,ACTIONS_EVENTS_MOVEMENT,verb,action
流动,ACTIONS_EVENTS_MOVEMENT,verb,action
运输,ACTIONS_EVENTS_MOVEMENT,verb,action
位移,ACTIONS_EVENTS_MOVEMENT,verb,action
行走,ACTIONS_EVENTS_MOVEMENT,verb,action
在某处,LOCATION_EXISTENCE,other,existence
位于,LOCATION_EXISTENCE,other,existence
处于,LOCATION_EXISTENCE,other,existence
存在于,LOCATION_EXISTENCE,other,existence
居住,LOCATION_EXISTENCE,other,existence
停留,LOCATION_EXISTENCE,other,existence
占据,LOCATION_EXISTENCE,other,existence
驻,LOCATION_EXISTENCE,other,existence
坐落,LOCATION_EXISTENCE,other,existence
留,LOCATION_EXISTENCE,other,existence
有,LOCATION_EXISTENCE,other,existence
存在,LOCATION_EXISTENCE,other,existence
在,LOCATION_EXISTENCE,other,existence
出现,LOCATION_EXISTENCE,other,existence
具有,LOCATION_EXISTENCE,other,existence
呈现,LOCATION_EXISTENCE,other,existence
实存,LOCATION_EXISTENCE,other,existence
现实,LOCATION_EXISTENCE,other,existence
实在,LOCATION_EXISTENCE,other,existence
在场,LOCATION_EXISTENCE,other,existence
是,LOCATION_EXISTENCE,other,existence
为,LOCATION_EXISTENCE,other,existence
存在,LOCATION_EXISTENCE,other,existence
本质,LOCATION_EXISTENCE,other,existence
性质,LOCATION_EXISTENCE,other,existence
实体,LOCATION_EXISTENCE,other,existence
状态,LOCATION_EXISTENCE,other,existence
身份,LOCATION_EXISTENCE,other,existence
特性,LOCATION_EXISTENCE,other,existence
本性,LOCATION_EXISTENCE,other,existence
属于我,LOCATION_EXISTENCE,other,existence
我的,LOCATION_EXISTENCE,other,existence
拥有,LOCATION_EXISTENCE,other,existence
所有,LOCATION_EXISTENCE,other,existence
财产,LOCATION_EXISTENCE,other,existence
占有,LOCATION_EXISTENCE,other,existence
归属,LOCATION_EXISTENCE,other,existence
归我,LOCATION_EXISTENCE,other,existence
产权,LOCATION_EXISTENCE,other,existence
活,LIFE_DEATH,verb,life
生活,LIFE_DEATH,verb,life
生命,LIFE_DEATH,verb,life
存在,LIFE_DEATH,verb,life
生存,LIFE_DEATH,verb,life
活着,LIFE_DEATH,verb,life
居住,LIFE_DEATH,verb,life
生物,LIFE_DEATH,verb,life
有机体,LIFE_DEATH,verb,life
呼吸,LIFE_DEATH,verb,life
死,LIFE_DEATH,verb,life
死亡,LIFE_DEATH,verb,life
去世,LIFE_DEATH,verb,life
逝世,LIFE_DEATH,verb,life
终结,LIFE_DEATH,verb,life
消亡,LIFE_DEATH,verb,life
灭亡,LIFE_DEATH,verb,life
丧生,LIFE_DEATH,verb,life
死者,LIFE_DEATH,verb,life
致命,LIFE_DEATH,verb,life
什么时候,TIME,other,temporal
时间,TIME,other,temporal
时刻,TIME,other,temporal
时机,TIME,other,temporal
场合,TIME,other,temporal
期间,TIME,other,temporal
时候,TIME,other,temporal
时段,TIME,other,temporal
时间性,TIME,other,temporal
现在,TIME,other,temporal
如今,TIME,other,temporal
当前,TIME,other,temporal
此刻,TIME,other,temporal
眼下,TIME,other,temporal
目前,TIME,other,temporal
当下,TIME,other,temporal
此时,TIME,other,temporal
今,TIME,other,temporal
现时,TIME,other,temporal
之前,TIME,other,temporal
以前,TIME,other,temporal
先前,TIME,other,temporal
从前,TIME,other,temporal
过去,TIME,other,temporal
前,TIME,other,temporal
早先,TIME,other,temporal
曾经,TIME,other,temporal
往昔,TIME,other,temporal
前面,TIME,other,temporal
之后,TIME,other,temporal
以后,TIME,other,temporal
后来,TIME,other,temporal
随后,TIME,other,temporal
将来,TIME,other,temporal
后,TIME,other,temporal
其后,TIME,other,temporal
嗣后,TIME,other,temporal
后面,TIME,other,temporal
未来,TIME,other,temporal
很长时间,TIME,other,temporal
长久,TIME,other,temporal
久,TIME,other,temporal
长期,TIME,other,temporal
长时间,TIME,other,temporal
持久,TIME,other,temporal
绵长,TIME,other,temporal
长远,TIME,other,temporal
悠久,TIME,other,temporal
短时间,TIME,other,temporal
片刻,TIME,other,temporal
瞬间,TIME,other,temporal
暂时,TIME,other,temporal
短暂,TIME,other,temporal
短期,TIME,other,temporal
一时,TIME,other,temporal
刹那,TIME,other,temporal
须臾,TIME,other,temporal
一段时间,TIME,other,temporal
一会儿,TIME,other,temporal
暂时,TIME,other,temporal
时期,TIME,other,temporal
期间,TIME,other,temporal
阶段,TIME,other,temporal
时段,TIME,other,temporal
片时,TIME,other,temporal
时刻,TIME,other,temporal
瞬间,TIME,other,temporal
刹那,TIME,other,temporal
片刻,TIME,other,temporal
顷刻,TIME,other,temporal
霎时,TIME,other,temporal
一瞬,TIME,other,temporal
分秒,TIME,other,temporal
当下,TIME,other,temporal
哪里,SPACE,other,spatial
地方,SPACE,other,spatial
位置,SPACE,other,spatial
地点,SPACE,other,spatial
场所,SPACE,other,spatial
空间,SPACE,other,spatial
区域,SPACE,other,spatial
地域,SPACE,other,spatial
地理,SPACE,other,spatial
地带,SPACE,other,spatial
这里,SPACE,other,spatial
此处,SPACE,other,spatial
此地,SPACE,other,spatial
这儿,SPACE,other,spatial
此间,SPACE,other,spatial
本地,SPACE,other,spatial
当地,SPACE,other,spatial
就地,SPACE,other,spatial
在场,SPACE,other,spatial
上面,SPACE,other,spatial
上,SPACE,other,spatial
上方,SPACE,other,spatial
之上,SPACE,other,spatial
以上,SPACE,other,spatial
高于,SPACE,other,spatial
顶部,SPACE,other,spatial
上头,SPACE,other,spatial
高处,SPACE,other,spatial
上空,SPACE,other,spatial
下面,SPACE,other,spatial
下,SPACE,other,spatial
下方,SPACE,other,spatial
之下,SPACE,other,spatial
以下,SPACE,other,spatial
低于,SPACE,other,spatial
底部,SPACE,other,spatial
下头,SPACE,other,spatial
地下,SPACE,other,spatial
下层,SPACE,other,spatial
远,SPACE,other,spatial
遥远,SPACE,other,spatial
远处,SPACE,other,spatial
远方,SPACE,other,spatial
距离远,SPACE,other,spatial
偏远,SPACE,other,spatial
久远,SPACE,other,spatial
辽远,SPACE,other,spatial
远离,SPACE,other,spatial
近,SPACE,other,spatial
附近,SPACE,other,spatial
靠近,SPACE,other,spatial
邻近,SPACE,other,spatial
临近,SPACE,other,spatial
接近,SPACE,other,spatial
近处,SPACE,other,spatial
近旁,SPACE,other,spatial
周围,SPACE,other,spatial
贴近,SPACE,other,spatial
侧,SPACE,other,spatial
旁边,SPACE,other,spatial
边,SPACE,other,spatial
侧面,SPACE,other,spatial
一边,SPACE,other,spatial
方面,SPACE,other,spatial
边缘,SPACE,other,spatial
侧边,SPACE,other,spatial
侧旁,SPACE,other,spatial
横侧,SPACE,other,spatial
里面,SPACE,other,spatial
内部,SPACE,other,spatial
内,SPACE,other,spatial
内侧,SPACE,other,spatial
里头,SPACE,other,spatial
内心,SPACE,other,spatial
内在,SPACE,other,spatial
中间,SPACE,other,spatial
核心,SPACE,other,spatial
内里,SPACE,other,spatial
触,SPACE,other,spatial
接触,SPACE,other,spatial
触摸,SPACE,other,spatial
碰,SPACE,other,spatial
摸,SPACE,other,spatial
触觉,SPACE,other,spatial
感触,SPACE,other,spatial
触及,SPACE,other,spatial
手感,SPACE,other,spatial
触感,SPACE,other,spatial
不,LOGICAL_CONCEPTS,conjunction,logic
没有,LOGICAL_CONCEPTS,conjunction,logic
否定,LOGICAL_CONCEPTS,conjunction,logic
否认,LOGICAL_CONCEPTS,conjunction,logic
拒绝,LOGICAL_CONCEPTS,conjunction,logic
相反,LOGICAL_CONCEPTS,conjunction,logic
缺乏,LOGICAL_CONCEPTS,conjunction,logic
无,LOGICAL_CONCEPTS,conjunction,logic
反对,LOGICAL_CONCEPTS,conjunction,logic
取消,LOGICAL_CONCEPTS,conjunction,logic
也许,LOGICAL_CONCEPTS,conjunction,logic
可能,LOGICAL_CONCEPTS,conjunction,logic
或许,LOGICAL_CONCEPTS,conjunction,logic
大概,LOGICAL_CONCEPTS,conjunction,logic
可能性,LOGICAL_CONCEPTS,conjunction,logic
未必,LOGICAL_CONCEPTS,conjunction,logic
说不定,LOGICAL_CONCEPTS,conjunction,logic
兴许,LOGICAL_CONCEPTS,conjunction,logic
容或,LOGICAL_CONCEPTS,conjunction,logic
能,LOGICAL_CONCEPTS,conjunction,logic
可以,LOGICAL_CONCEPTS,conjunction,logic
能力,LOGICAL_CONCEPTS,conjunction,logic
能够,LOGICAL_CONCEPTS,conjunction,logic
有能力,LOGICAL_CONCEPTS,conjunction,logic
可能,LOGICAL_CONCEPTS,conjunction,logic
潜力,LOGICAL_CONCEPTS,conjunction,logic
本领,LOGICAL_CONCEPTS,conjunction,logic
才能,LOGICAL_CONCEPTS,conjunction,logic
允许,LOGICAL_CONCEPTS,conjunction,logic
因为,LOGICAL_CONCEPTS,conjunction,logic
原因,LOGICAL_CONCEPTS,conjunction,logic
理由,LOGICAL_CONCEPTS,conjunction,logic
缘故,LOGICAL_CONCEPTS,conjunction,logic
动机,LOGICAL_CONCEPTS,conjunction,logic
根据,LOGICAL_CONCEPTS,conjunction,logic
解释,LOGICAL_CONCEPTS,conjunction,logic
目的,LOGICAL_CONCEPTS,conjunction,logic
起源,LOGICAL_CONCEPTS,conjunction,logic
因素,LOGICAL_CONCEPTS,conjunction,logic
如果,LOGICAL_CONCEPTS,conjunction,logic
假如,LOGICAL_CONCEPTS,conjunction,logic
条件,LOGICAL_CONCEPTS,conjunction,logic
假设,LOGICAL_CONCEPTS,conjunction,logic
倘若,LOGICAL_CONCEPTS,conjunction,logic
万一,LOGICAL_CONCEPTS,conjunction,logic
情况,LOGICAL_CONCEPTS,conjunction,logic
前提,LOGICAL_CONCEPTS,conjunction,logic
假定,LOGICAL_CONCEPTS,conjunction,logic
很,INTENSIFIER_AUGMENTOR,adverb,degree
非常,INTENSIFIER_AUGMENTOR,adverb,degree
极其,INTENSIFIER_AUGMENTOR,adverb,degree
十分,INTENSIFIER_AUGMENTOR,adverb,degree
特别,INTENSIFIER_AUGMENTOR,adverb,degree
相当,INTENSIFIER_AUGMENTOR,adverb,degree
格外,INTENSIFIER_AUGMENTOR,adverb,degree
极度,INTENSIFIER_AUGMENTOR,adverb,degree
程度,INTENSIFIER_AUGMENTOR,adverb,degree
强度,INTENSIFIER_AUGMENTOR,adverb,degree
更,INTENSIFIER_AUGMENTOR,adverb,degree
更多,INTENSIFIER_AUGMENTOR,adverb,degree
另外,INTENSIFIER_AUGMENTOR,adverb,degree
额外,INTENSIFIER_AUGMENTOR,adverb,degree
增加,INTENSIFIER_AUGMENTOR,adverb,degree
附加,INTENSIFIER_AUGMENTOR,adverb,degree
超过,INTENSIFIER_AUGMENTOR,adverb,degree
多余,INTENSIFIER_AUGMENTOR,adverb,degree
加,INTENSIFIER_AUGMENTOR,adverb,degree
进一步,INTENSIFIER_AUGMENTOR,adverb,degree
像,SIMILARITY,other,comparison
相似,SIMILARITY,other,comparison
类似,SIMILARITY,other,comparison
同样,SIMILARITY,other,comparison
好像,SIMILARITY,other,comparison
仿佛,SIMILARITY,other,comparison
相仿,SIMILARITY,other,comparison
相当,SIMILARITY,other,comparison
相似性,SIMILARITY,other,comparison
类比,SIMILARITY,other,comparison
