chinese,english,german
天,sky|heaven,sky|heaven
夫,husband|man,husband|man
少,few|little,few|little
专,special|focus,special|focus
为,do|become,do|become
五,five,five
今,now|today,now|today
介,introduce|between,introduce|between
仓,warehouse|granary,warehouse|granary
以,use|by,use|by
元,origin|first,origin|first
六,six,six
勿,do not|must not,do not|must not
区,area|region,area|region
午,noon|horse,noon|horse
屯,station|gather,station|gather
巴,desire|hope,desire|hope
太,too|very,too|very
尺,ruler|foot,ruler|foot
乌,crow|black,crow|black
亢,resist|raised,resist|raised
冈,ridge|hill,ridge|hill
匀,even|uniform,even|uniform
匹,match|horse,match|horse
升,rise|liter,rise|liter
尤,especially|blame,especially|blame
巨,huge|giant,huge|giant
凶,fierce|evil,fierce|evil
办,do|handle,do|handle
开,open|start,open|start
朩,tree variant,tree variant
勾,hook|seduce,hook|seduce
母,mother,mother
生,birth|life,birth|life
田,field|farm,field|farm
皿,dish|plate,dish|plate
目,eye|see,eye|see
矢,arrow|oath,arrow|oath
石,stone|rock,stone|rock
示,show|reveal,show|reveal
禾,grain|crop,grain|crop
鸟,bird|fly,bird|fly
玉,jade|precious,jade|precious
甘,sweet|willing,sweet|willing
用,use|employ,use|employ
白,white|clear,white|clear
立,stand|establish,stand|establish
龙,dragon|imperial,dragon|imperial
瓜,melon|gourd,melon|gourd
矛,spear|lance,spear|lance
玄,dark|mysterious,dark|mysterious
皮,skin|leather,skin|leather
穴,cave|hole,cave|hole
丙,third|fire,third|fire
乐,music|joy,music|joy
兄,elder brother,elder brother
四,four,four
央,center|middle,center|middle
它,it|other,it|other
甲,armor|first,armor|first
刍,grass|fodder,grass|fodder
且,and|moreover,and|moreover
丘,hill|mound,hill|mound
业,business|karma,business|karma
东,east,east
乎,question particle,question particle
令,order|command,order|command
冬,winter,winter
出,exit|produce,exit|produce
包,wrap|package,wrap|package
北,north,north
占,occupy|divine,occupy|divine
去,go|leave,go|leave
古,ancient|old,ancient|old
句,sentence|phrase,sentence|phrase
只,only|just,only|just
可,can|may,can|may
宁,rather|peaceful,rather|peaceful
旦,dawn|morning,dawn|morning
正,correct|straight,correct|straight
申,report|extend,report|extend
头,head|top,head|top
市,market|city,market|city
布,cloth|spread,cloth|spread
平,flat|peaceful,flat|peaceful
未,not yet,not yet
末,end|tip,end|tip
本,root|origin,root|origin
半,half,half
台,platform|stage,platform|stage
必,must|necessary,must|necessary
电,electricity|lightning,electricity|lightning
术,art|method,art|method
兰,orchid|elegant,orchid|elegant
击,strike|attack,strike|attack
失,lose|miss,lose|miss
尼,nun|near,nun|near
卡,card|stuck,card|stuck
另,other|separate,other|separate
斥,scold|repel,scold|repel
由,reason|from,reason|from
米,rice|grain,rice|grain
糸,silk|thread,silk|thread
缶,can|jar,can|jar
羊,sheep|goat,sheep|goat
老,old|elderly,old|elderly
耳,ear|hear,ear|hear
臣,minister|subject,minister|subject
自,self|from,self|from
舌,tongue|language,tongue|language
舟,boat|ship,boat|ship
血,blood,blood
行,walk|travel,walk|travel
衣,clothing|cover,clothing|cover
页,page|leaf,page|leaf
聿,writing brush,writing brush
网,net|network,net|network
羽,feather|wing,feather|wing
而,and|but,and|but
至,reach|arrive,reach|arrive
西,west,west
齐,neat|even,neat|even
竹,bamboo,bamboo
艮,mountain|stop,mountain|stop
肉,meat|flesh,meat|flesh
耒,plow|farming,plow|farming
臼,mortar|pestle,mortar|pestle
色,color|appearance,color|appearance
虫,insect|worm,insect|worm
尧,high|eminent,high|eminent
各,each|every,each|every
合,combine|together,combine|together
吉,lucky|good,lucky|good
向,toward|direction,toward|direction
吕,spine|backbone,spine|backbone
曲,curve|song,curve|song
交,cross|exchange,cross|exchange
共,together|common,together|common
寺,temple|monastery,temple|monastery
并,and|together,and|together
庄,village|solemn,village|solemn
式,style|ceremony,style|ceremony
酉,rooster|wine,rooster|wine
谷,valley|grain,valley|grain
豆,bean|vessel,bean|vessel
足,foot|enough,foot|enough
邑,city|settlement,city|settlement
麦,wheat|barley,wheat|barley
角,horn|corner,horn|corner
言,words|speech,words|speech
赤,red|bare,red|bare
辛,bitter|hard,bitter|hard
辰,morning|time,morning|time
釆,distinguish|separate,distinguish|separate
龟,turtle|tortoise,turtle|tortoise
走,walk|run,walk|run
身,body|self,body|self
里,inside|village,inside|village
舛,contrary|opposite,contrary|opposite
甫,nursery|cultivate,nursery|cultivate
良,good|fine,good|fine
员,member|round,member|round
孚,trust|belief,trust|belief
奂,brilliant|changing,brilliant|changing
雨,rain|water,rain|water
鱼,fish|swim,fish|swim
齿,tooth|dental,tooth|dental
金,metal|gold,metal|gold
青,blue|green,blue|green
非,not|wrong,not|wrong
阜,mound|hill,mound|hill
隶,servant|slave,servant|slave
幷,combine|join,combine|join
易,easy|change,easy|change
東,east,east
责,duty|blame,duty|blame
奉,offer|serve,offer|serve
尚,still|esteem,still|esteem
其,his|that,his|that
食,food|eat,food|eat
鬼,ghost|spirit,ghost|spirit
面,face|surface,face|surface
首,head|chief,head|chief
香,fragrant|incense,fragrant|incense
革,leather|reform,leather|reform
韭,leek|chive,leek|chive
音,sound|music,sound|music
骨,bone|skeleton,bone|skeleton
咸,salty|all,salty|all
畏,fear|awe,fear|awe
柬,select|choose,select|choose
禺,corner|join,corner|join
高,high|tall,high|tall
鬥,fight|struggle,fight|struggle
鹿,deer|elk,deer|elk
麻,hemp|flax,hemp|flax
黑,black|dark,black|dark
黍,millet|grain,millet|grain
黄,yellow|emperor,yellow|emperor
鼓,drum|encourage,drum|encourage
鼻,nose|nasal,nose|nasal
巠,fiber|radial,fiber|radial
