english,chinese,spanish,french,german,russian,korean,arabic,category,cultural-sensitivity
tradition,传统,tradición,tradition,Tradition,традиция,전통,تقليد,cultural-practices,medium
heritage,遗产,patrimonio,patrimoine,Erbe,наследие,유산,تراث,cultural-practices,medium
ancestry,祖先,ascendencia,ascendance,Abstammung,происхождение,혈통,نسب,cultural-practices,high
lineage,世系,linaje,lignée,Abstammungslinie,родословная,가계,نسب,cultural-practices,high
calligraphy,书法,caligrafía,calligraphie,Kalligraphie,каллиграфия,서예,خط,cultural-practices,high
wedding,婚礼,boda,mariage,Hochzeit,свадьба,결혼식,زفاف,cultural-practices,high
funeral,葬礼,funeral,funérailles,Beerdigung,похороны,장례식,جنازة,cultural-practices,high
baptism,洗礼,bautismo,baptême,Taufe,крещение,세례,تعميد,cultural-practices,high
circumcision,割礼,circuncisión,circoncision,Beschneidung,обрезание,할례,ختان,cultural-practices,high
initiation,成人礼,iniciación,initiation,Initiation,посвящение,입문식,بلوغ,cultural-practices,high
pilgrimage,朝圣,peregrinación,pèlerinage,Pilgerfahrt,паломничество,순례,حج,cultural-practices,high
fasting,斋戒,ayuno,jeûne,Fasten,пост,단식,صيام,cultural-practices,high
feast,盛宴,festín,festin,Festmahl,пир,잔치,وليمة,cultural-practices,medium
self,自我,yo,soi,Selbst,я,자아,نفس,philosophical,high
identity,身份,identidad,identité,Identität,идентичность,정체성,هوية,philosophical,medium
consciousness,意识,consciencia,conscience,Bewusstsein,сознание,의식,وعي,philosophical,high
soul,灵魂,alma,âme,Seele,душа,영혼,روح,philosophical,high
spirit,精神,espíritu,esprit,Geist,дух,정신,روح,philosophical,high
fate,命运,destino,destin,Schicksal,судьба,운명,قدر,philosophical,high
destiny,天命,destino,destinée,Bestimmung,предназначение,숙명,مصير,philosophical,high
karma,因果,karma,karma,Karma,карма,업,كرمة,philosophical,high
fortune,运气,fortuna,fortune,Glück,удача,행운,حظ,philosophical,medium
luck,幸运,suerte,chance,Glück,везение,운,حظ,philosophical,medium
duty,责任,deber,devoir,Pflicht,долг,의무,واجب,philosophical,high
obligation,义务,obligación,obligation,Verpflichtung,обязательство,책임,التزام,philosophical,medium
responsibility,职责,responsabilidad,responsabilité,Verantwortung,ответственность,책무,مسؤولية,philosophical,medium
burden,负担,carga,fardeau,Last,бремя,부담,عبء,philosophical,medium
virtue,美德,virtud,vertu,Tugend,добродетель,덕,فضيلة,philosophical,high
morality,道德,moralidad,moralité,Moral,мораль,도덕,أخلاق,philosophical,medium
ethics,伦理,ética,éthique,Ethik,этика,윤리,أخلاقيات,philosophical,medium
righteousness,正义,rectitud,droiture,Rechtschaffenheit,праведность,의로움,استقامة,philosophical,high
enlightenment,觉悟,iluminación,illumination,Erleuchtung,просветление,깨달음,استنارة,philosophical,high
wisdom,智慧,sabiduría,sagesse,Weisheit,мудрость,지혜,حكمة,philosophical,medium
knowledge,知识,conocimiento,connaissance,Wissen,знание,지식,معرفة,philosophical,low
ignorance,无知,ignorancia,ignorance,Unwissenheit,невежество,무지,جهل,philosophical,medium
truth,真理,verdad,vérité,Wahrheit,истина,진리,حقيقة,philosophical,high
falsehood,虚假,falsedad,fausseté,Falschheit,ложь,거짓,زيف,philosophical,medium
reality,现实,realidad,réalité,Realität,реальность,현실,واقع,philosophical,medium
illusion,幻觉,ilusión,illusion,Illusion,иллюзия,환상,وهم,philosophical,high
existence,存在,existencia,existence,Existenz,существование,존재,وجود,philosophical,high
nothingness,虚无,nada,néant,Nichts,ничто,무,عدم,philosophical,high
being,存在,ser,être,Sein,бытие,존재,كائن,philosophical,high
past,过去,pasado,passé,Vergangenheit,прошлое,과거,ماضي,temporal,low
present,现在,presente,présent,Gegenwart,настоящее,현재,حاضر,temporal,low
future,未来,futuro,futur,Zukunft,будущее,미래,مستقبل,temporal,low
eternity,永恒,eternidad,éternité,Ewigkeit,вечность,영원,أبدية,temporal,high
moment,瞬间,momento,moment,Moment,момент,순간,لحظة,temporal,medium
yesterday,昨天,ayer,hier,gestern,вчера,어제,أمس,temporal,low
today,今天,hoy,aujourd'hui,heute,сегодня,오늘,اليوم,temporal,low
tomorrow,明天,mañana,demain,morgen,завтра,내일,غدا,temporal,low
week,星期,semana,semaine,Woche,неделя,주,أسبوع,temporal,low
month,月,mes,mois,Monat,месяц,월,شهر,temporal,low
year,年,año,année,Jahr,год,년,سنة,temporal,low
childhood,童年,infancia,enfance,Kindheit,детство,어린-시절,طفولة,temporal,medium
youth,青年,juventud,jeunesse,Jugend,юность,청춘,شباب,temporal,medium
adulthood,成年,adultez,âge-adulte,Erwachsenenalter,зрелость,성인기,بلوغ,temporal,medium
old-age,老年,vejez,vieillesse,Alter,старость,노년,شيخوخة,temporal,medium
beginning,开始,comienzo,commencement,Anfang,начало,시작,بداية,temporal,low
middle,中间,medio,milieu,Mitte,середина,중간,وسط,temporal,low
end,结束,fin,fin,Ende,конец,끝,نهاية,temporal,low
cycle,循环,ciclo,cycle,Zyklus,цикл,순환,دورة,temporal,high
continuity,连续,continuidad,continuité,Kontinuität,непрерывность,연속성,استمرارية,temporal,medium
patience,耐心,paciencia,patience,Geduld,терпение,인내,صبر,temporal,high
urgency,紧迫,urgencia,urgence,Dringlichkeit,срочность,긴급,إلحاح,temporal,medium
delay,延迟,retraso,retard,Verzögerung,задержка,지연,تأخير,temporal,medium
punctuality,准时,puntualidad,ponctualité,Pünktlichkeit,пунктуальность,시간-엄수,دقة-المواعيد,temporal,high
dawn,黎明,amanecer,aube,Morgendämmerung,рассвет,새벽,فجر,temporal,medium
noon,中午,mediodía,midi,Mittag,полдень,정오,ظهر,temporal,low
dusk,黄昏,atardecer,crépuscule,Abenddämmerung,сумерки,황혼,غسق,temporal,medium
midnight,午夜,medianoche,minuit,Mitternacht,полночь,자정,منتصف-الليل,temporal,medium
season,季节,estación,saison,Jahreszeit,сезон,계절,موسم,temporal,medium
spring,春天,primavera,printemps,Frühling,весна,봄,ربيع,temporal,medium
summer,夏天,verano,été,Sommer,лето,여름,صيف,temporal,low
autumn,秋天,otoño,automne,Herbst,осень,가을,خريف,temporal,medium
winter,冬天,invierno,hiver,Winter,зима,겨울,شتاء,temporal,low
inside,内部,dentro,intérieur,innen,внутри,안,داخل,spatial,low
outside,外部,fuera,extérieur,außen,снаружи,밖,خارج,spatial,low
boundary,边界,límite,frontière,Grenze,граница,경계,حدود,spatial,medium
threshold,门槛,umbral,seuil,Schwelle,порог,문턱,عتبة,spatial,high
gateway,大门,puerta,portail,Tor,ворота,관문,بوابة,spatial,medium
above,上面,arriba,au-dessus,oben,над,위,فوق,spatial,low
below,下面,abajo,en-dessous,unten,под,아래,تحت,spatial,low
between,之间,entre,entre,zwischen,между,사이,بين,spatial,low
among,当中,entre,parmi,unter,среди,가운데,من-بين,spatial,medium
beside,旁边,al-lado,à-côté,neben,рядом,옆,بجانب,spatial,low
north,北,norte,nord,Norden,север,북,شمال,spatial,low
south,南,sur,sud,Süden,юг,남,جنوب,spatial,low
east,东,este,est,Osten,восток,동,شرق,spatial,low
west,西,oeste,ouest,Westen,запад,서,غرب,spatial,low
direction,方向,dirección,direction,Richtung,направление,방향,اتجاه,spatial,low
distance,距离,distancia,distance,Entfernung,расстояние,거리,مسافة,spatial,low
proximity,接近,proximidad,proximité,Nähe,близость,근접,قرب,spatial,medium
closeness,亲近,cercanía,proximité,Nähe,близость,가까움,قرب,spatial,medium
remoteness,遥远,lejanía,éloignement,Abgelegenheit,удалённость,멀리-떨어짐,بعد,spatial,medium
home,家,hogar,maison,Heim,дом,집,منزل,spatial,medium
homeland,祖国,patria,patrie,Heimat,родина,고향,وطن,spatial,high
foreign,外国,extranjero,étranger,fremd,иностранный,외국의,أجنبي,spatial,medium
domestic,国内,doméstico,domestique,heimisch,отечественный,국내의,محلي,spatial,medium
local,当地,local,local,lokal,местный,지역의,محلي,spatial,low
center,中心,centro,centre,Zentrum,центр,중심,مركز,spatial,low
periphery,边缘,periferia,périphérie,Peripherie,периферия,주변,محيط,spatial,medium
frontier,前沿,frontera,frontière,Grenze,граница,국경,حدود,spatial,high
border,边境,frontera,frontière,Grenze,граница,국경,حدود,spatial,medium
mountain,山,montaña,montagne,Berg,гора,산,جبل,spatial,low
valley,谷,valle,vallée,Tal,долина,계곡,وادي,spatial,medium
river,河,río,rivière,Fluss,река,강,نهر,spatial,low
ocean,海洋,océano,océan,Ozean,океан,바다,محيط,spatial,low
money,钱,dinero,argent,Geld,деньги,돈,مال,economic,low
wealth,财富,riqueza,richesse,Reichtum,богатство,부,ثروة,economic,medium
poverty,贫困,pobreza,pauvreté,Armut,бедность,빈곤,فقر,economic,medium
debt,债务,deuda,dette,Schuld,долг,빚,دين,economic,medium
credit,信用,crédito,crédit,Kredit,кредит,신용,ائتمان,economic,medium
buy,买,comprar,acheter,kaufen,покупать,사다,يشتري,economic,low
sell,卖,vender,vendre,verkaufen,продавать,팔다,يبيع,economic,low
trade,贸易,comercio,commerce,Handel,торговля,무역,تجارة,economic,low
barter,以物易物,trueque,troc,Tauschhandel,бартер,물물-교환,مقايضة,economic,high
exchange,交换,intercambio,échange,Austausch,обмен,교환,تبادل,economic,low
expensive,昂贵,caro,cher,teuer,дорогой,비싼,غالي,economic,low
cheap,便宜,barato,bon-marché,billig,дешёвый,싼,رخيص,economic,low
valuable,有价值,valioso,précieux,wertvoll,ценный,가치-있는,قيم,economic,medium
worthless,无价值,sin-valor,sans-valeur,wertlos,бесполезный,가치-없는,عديم-القيمة,economic,medium
profit,利润,ganancia,profit,Gewinn,прибыль,이익,ربح,economic,low
loss,损失,pérdida,perte,Verlust,убыток,손실,خسارة,economic,low
investment,投资,inversión,investissement,Investition,инвестиция,투자,استثمار,economic,low
savings,储蓄,ahorros,épargne,Ersparnisse,сбережения,저축,مدخرات,economic,medium
work,工作,trabajo,travail,Arbeit,работа,일,عمل,economic,low
labor,劳动,labor,labeur,Arbeit,труд,노동,عمل,economic,medium
leisure,休闲,ocio,loisir,Freizeit,досуг,여가,ترفيه,economic,medium
rest,休息,descanso,repos,Ruhe,отдых,휴식,راحة,economic,low
retirement,退休,jubilación,retraite,Ruhestand,выход-на-пенсию,은퇴,تقاعد,economic,medium
employment,就业,empleo,emploi,Beschäftigung,занятость,고용,توظيف,economic,low
unemployment,失业,desempleo,chômage,Arbeitslosigkeit,безработица,실업,بطالة,economic,medium
career,事业,carrera,carrière,Karriere,карьера,경력,مهنة,economic,medium
profession,职业,profesión,profession,Beruf,профессия,직업,مهنة,economic,low
occupation,职业,ocupación,occupation,Beschäftigung,занятие,직업,وظيفة,economic,low
king,国王,rey,roi,König,король,왕,ملك,power,medium
emperor,皇帝,emperador,empereur,Kaiser,император,황제,إمبراطور,power,high
president,总统,presidente,président,Präsident,президент,대통령,رئيس,power,low
leader,领导,líder,leader,Führer,лидер,지도자,قائد,power,medium
chief,首领,jefe,chef,Häuptling,вождь,추장,زعيم,power,medium
power,权力,poder,pouvoir,Macht,власть,권력,قوة,power,medium
authority,权威,autoridad,autorité,Autorität,авторитет,권위,سلطة,power,medium
control,控制,control,contrôle,Kontrolle,контроль,통제,سيطرة,power,medium
dominance,统治,dominio,domination,Herrschaft,господство,지배,هيمنة,power,high
submission,服从,sumisión,soumission,Unterwerfung,подчинение,복종,خضوع,power,high
law,法律,ley,loi,Gesetz,закон,법,قانون,power,low
rule,规则,regla,règle,Regel,правило,규칙,قاعدة,power,low
regulation,规定,regulación,règlement,Vorschrift,регулирование,규정,تنظيم,power,low
prohibition,禁止,prohibición,interdiction,Verbot,запрет,금지,حظر,power,medium
permission,许可,permiso,permission,Erlaubnis,разрешение,허가,إذن,power,low
obey,服从,obedecer,obéir,gehorchen,повиноваться,복종하다,يطيع,power,medium
command,命令,ordenar,commander,befehlen,командовать,명령하다,يأمر,power,medium
order,命令,orden,ordre,Befehl,приказ,명령,أمر,power,medium
request,请求,solicitud,demande,Anfrage,запрос,요청,طلب,power,low
suggest,建议,sugerir,suggérer,vorschlagen,предлагать,제안하다,يقترح,power,low
freedom,自由,libertad,liberté,Freiheit,свобода,자유,حرية,power,high
constraint,约束,restricción,contrainte,Einschränkung,ограничение,제약,قيد,power,medium
autonomy,自主,autonomía,autonomie,Autonomie,автономия,자율,استقلالية,power,high
dependence,依赖,dependencia,dépendance,Abhängigkeit,зависимость,의존,اعتماد,power,medium
independence,独立,independencia,indépendance,Unabhängigkeit,независимость,독립,استقلال,power,medium
sovereignty,主权,soberanía,souveraineté,Souveränität,суверенитет,주권,سيادة,power,high
democracy,民主,democracia,démocratie,Demokratie,демократия,민주주의,ديمقراطية,power,medium
dictatorship,独裁,dictadura,dictature,Diktatur,диктатура,독재,ديكتاتورية,power,high
monarchy,君主制,monarquía,monarchie,Monarchie,монархия,군주제,ملكية,power,high
republic,共和国,república,république,Republik,республика,공화국,جمهورية,power,medium
anxiety,焦虑,ansiedad,anxiété,Angst,тревога,불안,قلق,emotional,medium
stress,压力,estrés,stress,Stress,стресс,스트레스,ضغط,emotional,medium
depression,抑郁,depresión,dépression,Depression,депрессия,우울증,اكتئاب,emotional,medium
trauma,创伤,trauma,traumatisme,Trauma,травма,트라우마,صدمة,emotional,medium
healing,治愈,curación,guérison,Heilung,исцеление,치유,شفاء,emotional,medium
pride,骄傲,orgullo,fierté,Stolz,гордость,자부심,فخر,emotional,high
humility,谦虚,humildad,humilité,Demut,смирение,겸손,تواضع,emotional,high
arrogance,傲慢,arrogancia,arrogance,Arroganz,высокомерие,오만,غطرسة,emotional,medium
modesty,谦逊,modestia,modestie,Bescheidenheit,скромность,겸허,تواضع,emotional,high
envy,嫉妒,envidia,envie,Neid,зависть,시기,حسد,emotional,medium
jealousy,妒忌,celos,jalousie,Eifersucht,ревность,질투,غيرة,emotional,medium
admiration,钦佩,admiración,admiration,Bewunderung,восхищение,존경,إعجاب,emotional,medium
resentment,怨恨,resentimiento,ressentiment,Groll,обида,원망,استياء,emotional,medium
gratitude,感激,gratitud,gratitude,Dankbarkeit,благодарность,감사,امتنان,emotional,high
appreciation,欣赏,apreciación,appréciation,Wertschätzung,признательность,감상,تقدير,emotional,medium
thankfulness,感恩,agradecimiento,reconnaissance,Dankbarkeit,благодарность,고마움,شكر,emotional,high
loneliness,孤独,soledad,solitude,Einsamkeit,одиночество,외로움,وحدة,emotional,medium
solitude,独处,soledad,solitude,Einsamkeit,уединение,고독,عزلة,emotional,high
companionship,陪伴,compañía,compagnie,Gesellschaft,общение,동행,رفقة,emotional,medium
belonging,归属,pertenencia,appartenance,Zugehörigkeit,принадлежность,소속감,انتماء,emotional,high
grief,悲痛,pena,chagrin,Trauer,горе,슬픔,حزن,emotional,medium
mourning,哀悼,duelo,deuil,Trauer,траур,애도,حداد,emotional,high
sorrow,忧伤,tristeza,peine,Kummer,печаль,슬픔,حزن,emotional,medium
melancholy,忧郁,melancolía,mélancolie,Melancholie,меланхолия,우울,كآبة,emotional,high
joy,喜悦,alegría,joie,Freude,радость,기쁨,فرح,emotional,medium
happiness,幸福,felicidad,bonheur,Glück,счастье,행복,سعادة,emotional,medium
sadness,悲伤,tristeza,tristesse,Traurigkeit,грусть,슬픔,حزن,emotional,medium
anger,愤怒,ira,colère,Wut,гнев,분노,غضب,emotional,medium
fear,恐惧,miedo,peur,Angst,страх,두려움,خوف,emotional,medium
courage,勇气,valor,courage,Mut,храбрость,용기,شجاعة,emotional,high
hope,希望,esperanza,espoir,Hoffnung,надежда,희망,أمل,emotional,medium
despair,绝望,desesperación,désespoir,Verzweiflung,отчаяние,절망,يأس,emotional,high
love,爱,amor,amour,Liebe,любовь,사랑,حب,emotional,high
hate,恨,odio,haine,Hass,ненависть,증오,كراهية,emotional,high
passion,激情,pasión,passion,Leidenschaft,страсть,열정,شغف,emotional,high
indifference,冷漠,indiferencia,indifférence,Gleichgültigkeit,безразличие,무관심,لامبالاة,emotional,medium
compassion,同情,compasión,compassion,Mitgefühl,сострадание,동정심,رأفة,emotional,high
cruelty,残忍,crueldad,cruauté,Grausamkeit,жестокость,잔인함,قسوة,emotional,high
kindness,善良,bondad,gentillesse,Freundlichkeit,доброта,친절,لطف,emotional,medium
rice,米饭,arroz,riz,Reis,рис,쌀,أرز,food,high
bread,面包,pan,pain,Brot,хлеб,빵,خبز,food,low
noodles,面条,fideos,nouilles,Nudeln,лапша,국수,شعيرية,food,medium
soup,汤,sopa,soupe,Suppe,суп,국,حساء,food,low
meat,肉,carne,viande,Fleisch,мясо,고기,لحم,food,low
vegetable,蔬菜,verdura,légume,Gemüse,овощ,채소,خضار,food,low
fruit,水果,fruta,fruit,Obst,фрукт,과일,فاكهة,food,low
spice,香料,especia,épice,Gewürz,специя,향신료,بهار,food,medium
sweet,甜,dulce,sucré,süß,сладкий,단,حلو,food,low
sour,酸,agrio,aigre,sauer,кислый,신,حامض,food,low
bitter,苦,amargo,amer,bitter,горький,쓴,مر,food,low
salty,咸,salado,salé,salzig,солёный,짠,مالح,food,low
hot-spicy,辣,picante,épicé,scharf,острый,매운,حار,food,medium
bland,淡,soso,fade,fade,пресный,심심한,عديم-الطعم,food,medium
delicious,美味,delicioso,délicieux,lecker,вкусный,맛있는,لذيذ,food,low
breakfast,早餐,desayuno,petit-déjeuner,Frühstück,завтрак,아침식사,إفطار,food,low
lunch,午餐,almuerzo,déjeuner,Mittagessen,обед,점심,غداء,food,low
dinner,晚餐,cena,dîner,Abendessen,ужин,저녁,عشاء,food,low
sun,太阳,sol,soleil,Sonne,солнце,태양,شمس,nature,low
moon,月亮,luna,lune,Mond,луна,달,قمر,nature,low
star,星星,estrella,étoile,Stern,звезда,별,نجم,nature,low
sky,天空,cielo,ciel,Himmel,небо,하늘,سماء,nature,low
cloud,云,nube,nuage,Wolke,облако,구름,سحابة,nature,low
rain,雨,lluvia,pluie,Regen,дождь,비,مطر,nature,low
wind,风,viento,vent,Wind,ветер,바람,رياح,nature,low
snow,雪,nieve,neige,Schnee,снег,눈,ثلج,nature,medium
thunder,雷,trueno,tonnerre,Donner,гром,천둥,رعد,nature,medium
lightning,闪电,relámpago,éclair,Blitz,молния,번개,برق,nature,medium
tree,树,árbol,arbre,Baum,дерево,나무,شجرة,nature,low
flower,花,flor,fleur,Blume,цветок,꽃,زهرة,nature,low
grass,草,hierba,herbe,Gras,трава,풀,عشب,nature,low
forest,森林,bosque,forêt,Wald,лес,숲,غابة,nature,medium
desert,沙漠,desierto,désert,Wüste,пустыня,사막,صحراء,nature,medium
fire,火,fuego,feu,Feuer,огонь,불,نار,nature,low
water,水,agua,eau,Wasser,вода,물,ماء,nature,low
earth,土,tierra,terre,Erde,земля,흙,أرض,nature,low
air,空气,aire,air,Luft,воздух,공기,هواء,nature,low
stone,石头,piedra,pierre,Stein,камень,돌,حجر,nature,low
sand,沙,arena,sable,Sand,песок,모래,رمل,nature,low
music,音乐,música,musique,Musik,музыка,음악,موسيقى,art,low
song,歌曲,canción,chanson,Lied,песня,노래,أغنية,art,low
dance,舞蹈,danza,danse,Tanz,танец,춤,رقص,art,low
painting,绘画,pintura,peinture,Malerei,живопись,그림,رسم,art,low
sculpture,雕塑,escultura,sculpture,Skulptur,скульптура,조각,نحت,art,medium
poetry,诗歌,poesía,poésie,Poesie,поэзия,시,شعر,art,medium
literature,文学,literatura,littérature,Literatur,литература,문학,أدب,art,medium
theater,戏剧,teatro,théâtre,Theater,театр,연극,مسرح,art,medium
opera,歌剧,ópera,opéra,Oper,опера,오페라,أوبرا,art,high
drama,戏剧,drama,drame,Drama,драма,드라마,دراما,art,medium
comedy,喜剧,comedia,comédie,Komödie,комедия,희극,كوميديا,art,low
tragedy,悲剧,tragedia,tragédie,Tragödie,трагедия,비극,مأساة,art,medium
beauty,美,belleza,beauté,Schönheit,красота,아름다움,جمال,art,medium
ugliness,丑,fealdad,laideur,Hässlichkeit,уродство,추함,قبح,art,medium
harmony,和谐,armonía,harmonie,Harmonie,гармония,조화,تناغم,art,high
discord,不和,discordia,discorde,Zwietracht,разлад,불화,خلاف,art,medium
rhythm,节奏,ritmo,rythme,Rhythmus,ритм,리듬,إيقاع,art,medium
melody,旋律,melodía,mélodie,Melodie,мелодия,멜로디,لحن,art,medium
education,教育,educación,éducation,Bildung,образование,교육,تعليم,knowledge,medium
school,学校,escuela,école,Schule,школа,학교,مدرسة,knowledge,low
university,大学,universidad,université,Universität,университет,대학,جامعة,knowledge,low
learning,学习,aprendizaje,apprentissage,Lernen,обучение,학습,تعلم,knowledge,low
teaching,教学,enseñanza,enseignement,Unterricht,преподавание,교수,تدريس,knowledge,low
reading,阅读,lectura,lecture,Lesen,чтение,독서,قراءة,knowledge,low
writing,写作,escritura,écriture,Schreiben,письмо,쓰기,كتابة,knowledge,low
examination,考试,examen,examen,Prüfung,экзамен,시험,امتحان,knowledge,medium
degree,学位,título,diplôme,Abschluss,степень,학위,درجة,knowledge,medium
skill,技能,habilidad,compétence,Fähigkeit,навык,기술,مهارة,knowledge,low
talent,天赋,talento,talent,Talent,талант,재능,موهبة,knowledge,medium
genius,天才,genio,génie,Genie,гений,천재,عبقري,knowledge,high
head,头,cabeza,tête,Kopf,голова,머리,رأس,body,low
eye,眼睛,ojo,œil,Auge,глаз,눈,عين,body,low
ear,耳朵,oreja,oreille,Ohr,ухо,귀,أذن,body,low
nose,鼻子,nariz,nez,Nase,нос,코,أنف,body,low
mouth,嘴,boca,bouche,Mund,рот,입,فم,body,low
hand,手,mano,main,Hand,рука,손,يد,body,low
foot,脚,pie,pied,Fuß,нога,발,قدم,body,low
heart,心脏,corazón,cœur,Herz,сердце,심장,قلب,body,medium
blood,血,sangre,sang,Blut,кровь,피,دم,body,medium
bone,骨头,hueso,os,Knochen,кость,뼈,عظم,body,low
skin,皮肤,piel,peau,Haut,кожа,피부,جلد,body,low
hair,头发,cabello,cheveux,Haar,волосы,머리카락,شعر,body,low
god,神,dios,dieu,Gott,бог,신,إله,religion,high
heaven,天堂,cielo,paradis,Himmel,рай,천국,جنة,religion,high
hell,地狱,infierno,enfer,Hölle,ад,지옥,جحيم,religion,high
angel,天使,ángel,ange,Engel,ангел,천사,ملاك,religion,high
devil,魔鬼,diablo,diable,Teufel,дьявол,악마,شيطان,religion,high
sin,罪,pecado,péché,Sünde,грех,죄,خطيئة,religion,high
salvation,救赎,salvación,salut,Erlösung,спасение,구원,خلاص,religion,high
faith,信仰,fe,foi,Glaube,вера,믿음,إيمان,religion,high
belief,信念,creencia,croyance,Glaube,убеждение,신념,معتقد,religion,medium
worship,崇拜,adoración,culte,Anbetung,поклонение,숭배,عبادة,religion,high
sacred,神圣,sagrado,sacré,heilig,священный,신성한,مقدس,religion,high
profane,亵渎,profano,profane,profan,мирской,세속적인,دنيوي,religion,high
temple,寺庙,templo,temple,Tempel,храм,사원,معبد,religion,high
mosque,清真寺,mezquita,mosquée,Moschee,мечеть,모스크,مسجد,religion,high
church,教堂,iglesia,église,Kirche,церковь,교회,كنيسة,religion,high
