english,chinese,spanish,german,turkish,human
moose bull,公驼鹿,alce macho,Elchbulle,mus,
cow moose,母驼鹿,alce hembra,Elchkuh,dişi mus,
elk bull,公麋鹿,wapití macho,Wapiti,geyik,
cow elk,母麋鹿,wapití hembra,Wapitiweibchen,dişi geyik,
bison bull,公野牛,bisonte macho,Bisonbulle,bizon,
cow bison,母野牛,bisonte hembra,Bisonkuh,dişi bizon,
antelope buck,公羚羊,antílope macho,Antilopenbock,antilop,
antelope doe,母羚羊,antílope hembra,Antilopenweibchen,dişi antilop,
gazelle buck,公瞪羚,gacela macho,Gazellenbock,ceylan,
gazelle doe,母瞪羚,gacela hembra,Gazellenweibchen,dişi ceylan,
hyena male,公鬣狗,hiena macho,Hyänenmännchen,sırtlan,
hyena female,母鬣狗,hiena hembra,Hyänenweibchen,dişi sırtlan,
polar bear,公北极熊,oso polar macho,Eisbär,kutup ayısı,
female polar bear,母北极熊,osa polar,Eisbärin,dişi kutup ayısı,
grizzly bear,公灰熊,oso pardo macho,Grizzlybär,boz ayı,
female grizzly,母灰熊,osa parda,Grizzlybärin,dişi boz ayı,
cheetah,公猎豹,guepardo,Gepard,çita,
cheetah female,母猎豹,guepardo hembra,Gepardin,dişi çita,
falcon,雄隼,halcón,Falke,şahin,
falconess,雌隼,halcona,Falkin,dişi şahin,
eagle,雄鹰,águila macho,Adler,kartal,
eagless,雌鹰,águila hembra,Adlerin,dişi kartal,
hawk,雄鹰,halcón,Habicht,atmaca,
hen hawk,雌鹰,halcona,Habichtin,dişi atmaca,
owl,雄猫头鹰,búho,Eule,baykuş,
female owl,雌猫头鹰,lechuza,Eule,dişi baykuş,
swan cob,公天鹅,cisne macho,Schwan,kuğu,
swan pen,母天鹅,cisne hembra,Schwanweibchen,dişi kuğu,
penguin male,公企鹅,pingüino macho,Pinguin,penguen,
penguin female,母企鹅,pingüina,Pinguinweibchen,dişi penguen,
dolphin bull,公海豚,delfín macho,Delfinbulle,yunus,
cow dolphin,母海豚,delfín hembra,Delfinkuh,dişi yunus,
whale bull,公鲸鱼,ballena macho,Walbulle,balina,
cow whale,母鲸鱼,ballena hembra,Walkuh,dişi balina,
shark male,公鲨鱼,tiburón macho,Hai,köpekbalığı,
shark female,母鲨鱼,tiburona,Haiweibchen,dişi köpekbalığı,
octopus male,公章鱼,pulpo macho,Krake,ahtapot,
octopus female,母章鱼,pulpo hembra,Krakenweibchen,dişi ahtapot,
crane,雄鹤,grulla macho,Kranich,turna,
hen crane,雌鹤,grulla hembra,Kranichweibchen,dişi turna,
