chinese,english,spanish,french,german,russian,korean,arabic
丁,nail|adult,clavo|adulto,clou|adulte,nagel|erwachsener,гвоздь|взрослый,못|어른,مسمار|بالغ
七,seven,siete,sept,sieben,семь,일곱,سبعة
乃,then|therefore,entonces|por lo tanto,alors|donc,dann|daher,тогда|поэтому,그러면|따라서,إذن|لذلك
九,nine,nueve,neuf,neun,девять,아홉,تسعة
了,complete|finish,completo|terminar,complet|finir,vollständig|beenden,полный|заканчивать,완료|끝,مكتمل|انتهى
⺀,ancient variant,variante antigua,variante ancienne,alte variante,древний вариант,고대 변형,متغير قديم
龴,ancient form,forma antigua,forme ancienne,alte form,древняя форма,고대 형태,شكل قديم
⺁,ancient variant,variante antigua,variante ancienne,alte variante,древний вариант,고대 변형,متغير قديم
刁,cunning|sly,astuto|taimado,rusé|sournois,listig|verschlagen,хитрый|лукавый,교활한|간사한,ماكر|مخادع
宀,roof|house,techo|casa,toit|maison,dach|haus,крыша|дом,지붕|집,سقف|بيت
口,mouth|opening,boca|abertura,bouche|ouverture,mund|öffnung,рот|отверстие,입|구멍,فم|فتحة
土,earth|soil,tierra|suelo,terre|sol,erde|boden,земля|почва,흙|땅,أرض|تربة
士,scholar|gentleman,erudito|caballero,érudit|gentleman,gelehrter|herr,учёный|джентльмен,선비|신사,عالم|سيد
大,big|great,grande|gran,grand|gros,groß|toll,большой|великий,큰|위대한,كبير|عظيم
女,woman|female,mujer|femenino,femme|féminin,frau|weiblich,женщина|женский,여자|여성,امرأة|أنثى
子,child|offspring,niño|descendencia,enfant|descendance,kind|nachkomme,ребёнок|потомство,자식|아이,طفل|ذرية
小,small|little,pequeño|poco,petit|peu,klein|wenig,маленький|мало,작은|조금,صغير|قليل
山,mountain|hill,montaña|colina,montagne|colline,berg|hügel,гора|холм,산|언덕,جبل|تل
川,river|stream,río|arroyo,rivière|ruisseau,fluss|bach,река|поток,강|시내,نهر|جدول
工,work|craft,trabajo|artesanía,travail|artisanat,arbeit|handwerk,работа|ремесло,일|공예,عمل|حرفة
巾,cloth|towel,tela|toalla,tissu|serviette,tuch|handtuch,ткань|полотенце,천|수건,قماش|منشفة
弓,bow|arch,arco,arc,bogen,лук|дуга,활|호,قوس
飞,fly|flight,volar|vuelo,voler|vol,fliegen|flug,летать|полёт,날다|비행,طيران|رحلة
马,horse|fast,caballo|rápido,cheval|rapide,pferd|schnell,лошадь|быстрый,말|빠른,حصان|سريع
巛,river|flow,río|flujo,rivière|flux,fluss,река|поток,강|흐름,نهر|تدفق
夕,evening|sunset,tarde|atardecer,soir|coucher,abend|sonnenuntergang,вечер|закат,저녁|일몰,مساء|غروب
尸,corpse|body,cadáver|cuerpo,cadavre|corps,leiche|körper,труп|тело,시체|몸,جثة|جسد
己,self|oneself,yo|uno mismo,soi|soi-même,selbst|sich,себя|сам,자기|자신,نفس|الذات
干,dry|stem,seco|tallo,sec|tige,trocken|stamm,сухой|стебель,마른|줄기,جاف|ساق
幺,tiny|thread,diminuto|hilo,minuscule|fil,winzig|faden,крошечный|нить,작은|실,صغير|خيط
广,building|shelter,edificio|refugio,bâtiment|abri,gebäude|unterschlupf,здание|укрытие,건물|피난처,مبنى|مأوى
廾,hands|together,manos|juntos,mains|ensemble,hände|zusammen,руки|вместе,손|함께,أيدي|معا
弋,arrow|shoot,flecha|disparar,flèche|tirer,pfeil|schießen,стрела|стрелять,화살|쏘다,سهم|أطلق
忄,heart|emotion,corazón|emoción,cœur|émotion,herz|emotion,сердце|эмоция,마음|감정,قلب|عاطفة
扌,hand|action,mano|acción,main|action,hand|aktion,рука|действие,손|행동,يد|عمل
氵,water|flow,agua|flujo,eau|flux,wasser|fluss,вода|поток,물|흐름,ماء|تدفق
囗,enclosure|surround,recinto|rodear,enceinte|entourer,gehege|umgeben,ограждение|окружать,울타리|둘러싸다,حاوية|أحاط
寸,inch|measure,pulgada|medida,pouce|mesure,zoll|maß,дюйм|мера,촌|측정,بوصة|قياس
彡,hair|pattern,cabello|patrón,cheveu|motif,haar|muster,волосы|узор,머리카락|무늬,شعر|نمط
彳,step|walk,paso|caminar,pas|marcher,schritt|gehen,шаг|идти,걸음|걷다,خطوة|مشى
夂,slow|gradual,lento|gradual,lent|graduel,langsam|allmählich,медленный|постепенный,느린|점진적,بطيء|تدريجي
夊,walk|movement,caminar|movimiento,marcher|mouvement,gehen|bewegung,идти|движение,걷다|움직임,مشي|حركة
尢,lame|defect,cojo|defecto,boiteux|défaut,lahm|fehler,хромой|дефект,절뚝|결함,أعرج|عيب
屮,sprout|grow,brote|crecer,pousse|pousser,keim|wachsen,росток|расти,새싹|자라다,برعم|نمو
廴,long stride,zancada larga,longue enjambée,langer schritt,длинный шаг,긴 걸음,خطوة طويلة
彐,snout|pig,hocico|cerdo,museau|porc,schnauze|schwein,морда|свинья,주둥이|돼지,خطم|خنزير
彑,pig head,cabeza de cerdo,tête de porc,schweinekopf,голова свиньи,돼지 머리,رأس خنزير
丬,half tree,medio árbol,demi-arbre,halber baum,половина дерева,반나무,نصف شجرة
艹,grass|plant,hierba|planta,herbe|plante,gras|pflanze,трава|растение,풀|식물,عشب|نبات
辶,walk|road,caminar|camino,marcher|route,gehen|straße,идти|дорога,걷다|길,مشي|طريق
阝,mound|place,montículo|lugar,monticule|lieu,hügel|ort,холм|место,언덕|장소,تل|مكان
饣,food radical,radical de comida,radical de nourriture,essen-radikal,радикал еды,음식 부수,جذر الطعام
犭,animal|beast,animal|bestia,animal|bête,tier|bestie,животное|зверь,동물|짐승,حيوان|وحش
门,door|gate,puerta|portal,porte|portail,tür|tor,дверь|ворота,문|대문,باب|بوابة
三,three,tres,trois,drei,три,셋,ثلاثة
上,up|above,arriba|encima,haut|dessus,hoch|oben,вверх|над,위|위에,فوق|أعلى
下,down|below,abajo|debajo,bas|dessous,unten|unter,вниз|под,아래|밑에,تحت|أسفل
万,ten thousand,diez mil,dix mille,zehntausend,десять тысяч,만,عشرة آلاف
义,righteousness,justicia,justice,gerechtigkeit,справедливость,의,عدالة
之,possessive particle,partícula posesiva,particule possessive,besitzpartikel,притяжательная частица,의,أداة الملكية
习,practice|learn,practicar|aprender,pratiquer|apprendre,üben|lernen,практиковать|учиться,연습|배우다,تدرب|تعلم
于,at|in,en|dentro,à|dans,bei|in,в|у,에서|안에,في|عند
亡,death|lose,muerte|perder,mort|perdre,tod|verlieren,смерть|терять,죽음|잃다,موت|فقد
刃,blade|edge,hoja|filo,lame|tranchant,klinge|schneide,лезвие|край,날|가장자리,نصل|حافة
勺,spoon|ladle,cuchara|cucharón,cuillère|louche,löffel|schöpfkelle,ложка|половник,숟가락|국자,ملعقة|مغرفة
千,thousand,mil,mille,tausend,тысяча,천,ألف
及,reach|and,alcanzar|y,atteindre|et,erreichen|und,достигать|и,이르다|그리고,وصل|و
乡,village|countryside,aldea|campo,village|campagne,dorf|land,деревня|сельская местность,마을|시골,قرية|ريف
才,talent|just,talento|justo,talent|juste,talent|gerade,талант|только,재능|막,موهبة|فقط
兀,bald|突出,calvo|saliente,chauve|saillant,kahl|hervorstehend,лысый|выступающий,대머리|돌출,أصلع|بارز
与,give|with,dar|con,donner|avec,geben|mit,давать|с,주다|와,أعطى|مع
也,also|too,también|tambien,aussi|trop,auch|zu,также|тоже,또한|너무,أيضا|جدا
叉,fork|cross,tenedor|cruz,fourchette|croix,gabel|kreuz,вилка|крест,포크|십자,شوكة|صليب
亍,step|pace,paso|ritmo,pas|allure,schritt|tempo,шаг|темп,걸음|보조,خطوة|وتيرة
丈,measure|elder,medida|anciano,mesure|aîné,maß|ältester,мера|старший,장|어른,مقياس|كبير
个,individual|piece,individual|pieza,individuel|pièce,einzeln|stück,отдельный|кусок,개인|개,فردي|قطعة
丸,round|pill,redondo|píldora,rond|pilule,rund|pille,круглый|таблетка,둥근|알약,مستدير|حبة
久,long time,mucho tiempo,longtemps,lange zeit,долгое время,오랫동안,وقت طويل
亏,loss|deficit,pérdida|déficit,perte|déficit,verlust|defizit,потеря|дефицит,손실|적자,خسارة|عجز
⺌,ice variant,variante de hielo,variante de glace,eis-variante,вариант льда,얼음 변형,متغير الثلج
⺍,small variant,variante pequeña,petite variante,kleine variante,маленький вариант,작은 변형,متغير صغير
⻏,mound variant,variante de montículo,variante de monticule,hügel-variante,вариант холма,언덕 변형,متغير التل
么,what|small,qué|pequeño,quoi|petit,was|klein,что|маленький,뭐|작은,ماذا|صغير
乞,beg|request,mendigar|pedir,mendier|demander,betteln|bitten,просить|требовать,구걸|요청,تسول|طلب
已,already|stop,ya|parar,déjà|arrêter,bereits|stoppen,уже|остановиться,이미|멈추다,بالفعل|توقف
爻,hexagram line,línea de hexagrama,ligne d'hexagramme,hexagramm-linie,линия гексаграммы,괘효,خط السداسي
戈,halberd|weapon,alabarda|arma,hallebarde|arme,hellebarde|waffe,алебарда|оружие,창|무기,حربة|سلاح
户,door|household,puerta|hogar,porte|ménage,tür|haushalt,дверь|домашнее хозяйство,문|가정,باب|منزل
文,writing|culture,escritura|cultura,écriture|culture,schrift|kultur,письменность|культура,글|문화,كتابة|ثقافة
斗,fight|measure,luchar|medida,combattre|mesure,kämpfen|maß,бороться|мера,싸우다|되,قاتل|مقياس
斤,axe|catty,hacha|catty,hache|catty,axt|catty,топор|катти,도끼|근,فأس|كاتي
日,sun|day,sol|día,soleil|jour,sonne|tag,солнце|день,해|날,شمس|يوم
月,moon|month,luna|mes,lune|mois,mond|monat,луна|месяц,달|월,قمر|شهر
木,tree|wood,árbol|madera,arbre|bois,baum|holz,дерево|древесина,나무|목재,شجرة|خشب
比,compare|ratio,comparar|proporción,comparer|ratio,vergleichen|verhältnis,сравнивать|отношение,비교|비율,قارن|نسبة
气,air|breath,aire|respiración,air|souffle,luft|atem,воздух|дыхание,공기|숨,هواء|نفس
水,water|flow,agua|flujo,eau|flux,wasser|fluss,вода|поток,물|흐름,ماء|تدفق
火,fire|flame,fuego|llama,feu|flamme,feuer|flamme,огонь|пламя,불|화염,نار|لهب
父,father,padre,père,vater,отец,아버지,أب
牛,cow|bull,vaca|toro,vache|taureau,kuh|stier,корова|бык,소|황소,بقرة|ثور
牜,cow radical,radical de vaca,radical de vache,kuh-radikal,радикал коровы,소 부수,جذر البقرة
犬,dog|hunt,perro|cazar,chien|chasser,hund|jagen,собака|охотиться,개|사냥,كلب|صيد
王,king|jade,rey|jade,roi|jade,könig|jade,король|нефрит,왕|옥,ملك|يشب
贝,shell|treasure,concha|tesoro,coquille|trésor,muschel|schatz,раковина|сокровище,조개|보물,صدفة|كنز
车,vehicle|wheel,vehículo|rueda,véhicule|roue,fahrzeug|rad,транспорт|колесо,수레|바퀴,مركبة|عجلة
风,wind|style,viento|estilo,vent|style,wind|stil,ветер|стиль,바람|스타일,ريح|أسلوب
毋,do not,no hacer,ne pas,nicht tun,не делать,하지 말다,لا تفعل
戶,door variant,variante de puerta,variante de porte,tür-variante,вариант двери,문 변형,متغير الباب
灬,fire dots,puntos de fuego,points de feu,feuer-punkte,точки огня,불 점들,نقاط النار
方,square|direction,cuadrado|dirección,carré|direction,quadrat|richtung,квадрат|направление,사각형|방향,مربع|اتجاه
曰,say|speak,decir|hablar,dire|parler,sagen|sprechen,сказать|говорить,말하다|이르다,قال|تحدث
止,stop|foot,parar|pie,arrêter|pied,stoppen|fuß,остановиться|нога,멈추다|발,توقف|قدم
歹,bad|evil,malo|mal,mauvais|mal,schlecht|böse,плохой|зло,나쁜|악,سيء|شر
氏,clan|surname,clan|apellido,clan|nom,clan|familienname,клан|фамилия,씨족|성,عشيرة|اسم العائلة
片,slice|piece,rebanada|pieza,tranche|morceau,scheibe|stück,ломтик|кусок,조각|편,شريحة|قطعة
爿,half tree,medio árbol,demi-arbre,halber baum,половина дерева,반나무,نصف شجرة
见,see|meet,ver|encontrar,voir|rencontrer,sehen|treffen,видеть|встречать,보다|만나다,رأى|التقى
长,long|grow,largo|crecer,long|pousser,lang|wachsen,длинный|расти,길다|자라다,طويل|نمو
韦,leather|soft,cuero|suave,cuir|doux,leder|weich,кожа|мягкий,가죽|부드러운,جلد|ناعم
殳,weapon|strike,arma|golpear,arme|frapper,waffe|schlagen,оружие|ударить,무기|치다,سلاح|ضرب
礻,spirit radical,radical de espíritu,radical d'esprit,geist-radikal,радикал духа,신 부수,جذر الروح
心,heart|mind,corazón|mente,cœur|esprit,herz|geist,сердце|разум,마음|심장,قلب|عقل
手,hand|grasp,mano|agarrar,main|saisir,hand|greifen,рука|хватать,손|잡다,يد|قبض
无,without|not have,sin|no tener,sans|ne pas avoir,ohne|nicht haben,без|не иметь,없이|갖지 않다,بدون|لا يملك
毛,hair|fur,cabello|pelaje,cheveu|fourrure,haar|fell,волосы|мех,털|모피,شعر|فراء
爪,claw|talon,garra|talón,griffe|talon,klaue|kralle,коготь|когти,발톱|탈론,مخلب|مخلب
爫,claw variant,variante de garra,variante de griffe,klauen-variante,вариант когтя,발톱 변형,متغير المخلب
牙,tooth|fang,diente|colmillo,dent|croc,zahn|reißzahn,зуб|клык,이빨|송곳니,سن|ناب
瓦,tile|pottery,teja|cerámica,tuile|poterie,ziegel|töpferei,черепица|керамика,기와|도자기,بلاط|فخار
支,support|branch,apoyar|rama,soutenir|branche,stützen|ast,поддерживать|ветвь,지지하다|가지,دعم|فرع
欠,owe|lack,deber|carecer,devoir|manquer,schulden|mangeln,должен|недостаток,빚지다|부족,دين|نقص
禸,track|trace,rastro|traza,piste|trace,spur|spur,след|след,발자국|흔적,مسار|أثر
⺩,jade variant,variante de jade,variante de jade,jade-variante,вариант нефрита,옥 변형,متغير اليشب
礻,show variant,variante de mostrar,variante de montrer,zeigen-variante,вариант показывать,보이다 변형,متغير الإظهار
攵,strike|tap,golpear|tocar,frapper|taper,schlagen|klopfen,ударить|стучать,치다|두드리다,ضرب|نقر
攴,strike variant,variante de golpear,variante de frapper,schlag-variante,вариант удара,치다 변형,متغير الضرب
罓,net|network,red|red de trabajo,filet|réseau,netz|netzwerk,сеть|сеть,그물|네트워크,شبكة|شبكة
耂,old|elderly,viejo|anciano,vieux|âgé,alt|ältlich,старый|пожилой,늙은|고령,قديم|مسن
不,not|no,no|no,pas|non,nicht|nein,не|нет,아니다|아니오,لا|لا
丑,ugly|second,feo|segundo,laid|deuxième,hässlich|zweite,уродливый|второй,못생긴|둘째,قبيح|ثاني
中,middle|center,medio|centro,milieu|centre,mitte|zentrum,середина|центр,가운데|중심,وسط|مركز
丰,abundant|plentiful,abundante|abundante,abondant|abondant,reichlich|reichlich,обильный|изобильный,풍부한|넉넉한,وفير|كثير
云,cloud|say,nube|decir,nuage|dire,wolke|sagen,облако|сказать,구름|말하다,سحابة|قال
井,well|pit,pozo|foso,puits|fosse,brunnen|grube,колодец|яма,우물|구덩이,بئر|حفرة
公,public|fair,público|justo,public|équitable,öffentlich|fair,общественный|справедливый,공공|공정,عام|عادل
内,inside|within,dentro|dentro de,dedans|dans,innen|innerhalb,внутри|в пределах,안에|안쪽,داخل|ضمن
分,divide|part,dividir|parte,diviser|partie,teilen|teil,делить|часть,나누다|부분,قسم|جزء
友,friend,amigo,ami,freund,друг,친구,صديق
天,sky|heaven,cielo|cielo,ciel|ciel,himmel|himmel,небо|небеса,하늘|천국,سماء|سماء
夫,husband|man,esposo|hombre,époux|homme,ehemann|mann,муж|мужчина,남편|남자,زوج|رجل
少,few|little,pocos|poco,peu|peu,wenige|wenig,немного|мало,적은|조금,قليل|قليل
旡,choke|obstruct,ahogar|obstruir,étouffer|obstruer,ersticken|verstopfen,душить|препятствовать,질식|방해,خنق|عرقل
专,special|focus,especial|enfocar,spécial|focus,speziell|fokus,специальный|фокус,특별|집중,خاص|تركيز
为,do|become,hacer|convertirse,faire|devenir,tun|werden,делать|становиться,하다|되다,فعل|أصبح
五,five,cinco,cinq,fünf,пять,다섯,خمسة
今,now|today,ahora|hoy,maintenant|aujourd'hui,jetzt|heute,сейчас|сегодня,지금|오늘,الآن|اليوم
介,introduce|between,introducir|entre,introduire|entre,vorstellen|zwischen,представлять|между,소개|사이,قدم|بين
仓,warehouse|granary,almacén|granero,entrepôt|grenier,lager|getreidespeicher,склад|амбар,창고|곡창,مستودع|مخزن
以,use|by,usar|por,utiliser|par,verwenden|durch,использовать|через,사용|으로,استخدم|بواسطة
元,origin|first,origen|primero,origine|premier,ursprung|erste,происхождение|первый,원|첫째,أصل|أول
六,six,seis,six,sechs,шесть,여섯,ستة
勿,do not|must not,no hacer|no debe,ne pas|ne doit pas,nicht tun|darf nicht,не делать|не должен,하지 말다|안 된다,لا تفعل|يجب ألا
区,area|region,área|región,zone|région,gebiet|region,область|регион,지역|구역,منطقة|إقليم
午,noon|horse,mediodía|caballo,midi|cheval,mittag|pferd,полдень|лошадь,정오|말,ظهر|حصان
屯,station|gather,estación|reunir,station|rassembler,station|sammeln,станция|собирать,주둔|모이다,محطة|اجتمع
巴,desire|hope,desear|esperar,désirer|espérer,begehren|hoffen,желать|надеяться,바라다|희망,رغب|أمل
太,too|very,demasiado|muy,trop|très,zu|sehr,слишком|очень,너무|매우,جدا|جدا
尺,ruler|foot,regla|pie,règle|pied,lineal|fuß,линейка|фут,자|발,مسطرة|قدم
乌,crow|black,cuervo|negro,corbeau|noir,krähe|schwarz,ворон|чёрный,까마귀|검은,غراب|أسود
亢,resist|raised,resistir|elevado,résister|élevé,widerstehen|erhöht,сопротивляться|поднятый,저항|높은,قاوم|مرتفع
冈,ridge|hill,cresta|colina,crête|colline,grat|hügel,гребень|холм,능선|언덕,قمة|تل
匀,even|uniform,parejo|uniforme,égal|uniforme,gleich|gleichmäßig,ровный|единообразный,고른|균일,متساو|موحد
匹,match|horse,coincidir|caballo,correspondre|cheval,passen|pferd,подходить|лошадь,맞다|말,مطابقة|حصان
升,rise|liter,subir|litro,monter|litre,steigen|liter,подниматься|литр,오르다|리터,صعد|لتر
尤,especially|blame,especialmente|culpar,surtout|blâmer,besonders|tadeln,особенно|винить,특히|비난,خاصة|لام
巨,huge|giant,enorme|gigante,énorme|géant,riesig|riese,огромный|гигант,거대한|거인,ضخم|عملاق
凶,fierce|evil,feroz|malvado,féroce|mal,wild|böse,свирепый|злой,사나운|악한,شرس|شر
办,do|handle,hacer|manejar,faire|gérer,tun|handhaben,делать|обращаться,하다|다루다,فعل|تعامل
开,open|start,abrir|empezar,ouvrir|commencer,öffnen|anfangen,открывать|начинать,열다|시작,فتح|ابدأ
朩,tree variant,variante de árbol,variante d'arbre,baum-variante,вариант дерева,나무 변형,متغير الشجرة
⺧,heart variant,variante de corazón,variante de cœur,herz-variante,вариант сердца,마음 변형,متغير القلب
勾,hook|seduce,gancho|seducir,crochet|séduire,haken|verführen,крючок|соблазнить,갈고리|유혹,خطاف|أغوى
母,mother,madre,mère,mutter,мать,어머니,أم
生,birth|life,nacimiento|vida,naissance|vie,geburt|leben,рождение|жизнь,출생|생명,ولادة|حياة
田,field|farm,campo|granja,champ|ferme,feld|bauernhof,поле|ферма,밭|농장,حقل|مزرعة
皿,dish|plate,plato|plato,plat|assiette,schüssel|teller,блюдо|тарелка,그릇|접시,طبق|صحن
目,eye|see,ojo|ver,œil|voir,auge|sehen,глаз|видеть,눈|보다,عين|رأى
矢,arrow|oath,flecha|juramento,flèche|serment,pfeil|eid,стрела|клятва,화살|맹세,سهم|قسم
石,stone|rock,piedra|roca,pierre|roche,stein|fels,камень|скала,돌|바위,حجر|صخرة
示,show|reveal,mostrar|revelar,montrer|révéler,zeigen|offenbaren,показать|раскрывать,보이다|드러내다,أظهر|كشف
禾,grain|crop,grano|cultivo,grain|récolte,getreide|ernte,зерно|урожай,곡식|작물,حبوب|محصول
鸟,bird|fly,pájaro|volar,oiseau|voler,vogel|fliegen,птица|летать,새|날다,طائر|طار
衤,clothing radical,radical de ropa,radical de vêtement,kleider-radikal,радикал одежды,옷 부수,جذر الملابس
玉,jade|precious,jade|precioso,jade|précieux,jade|kostbar,нефрит|драгоценный,옥|귀한,يشب|ثمين
甘,sweet|willing,dulce|dispuesto,doux|disposé,süß|bereit,сладкий|готовый,달콤한|기꺼이,حلو|راغب
用,use|employ,usar|emplear,utiliser|employer,verwenden|beschäftigen,использовать|нанимать,사용|고용,استخدم|وظف
白,white|clear,blanco|claro,blanc|clair,weiß|klar,белый|ясный,흰|명확한,أبيض|واضح
立,stand|establish,pararse|establecer,se tenir|établir,stehen|gründen,стоять|устанавливать,서다|세우다,وقف|أسس
龙,dragon|imperial,dragón|imperial,dragon|impérial,drache|kaiserlich,дракон|имперский,용|황실,تنين|إمبراطوري
钅,metal radical,radical de metal,radical de métal,metall-radikal,радикал металла,금속 부수,جذر المعدن
瓜,melon|gourd,melón|calabaza,melon|courge,melone|kürbis,дыня|тыква,참외|박,شمام|قرع
矛,spear|lance,lanza|lanza,lance|lance,speer|lanze,копьё|копьё,창|창,رمح|رمح
玄,dark|mysterious,oscuro|misterioso,sombre|mystérieux,dunkel|geheimnisvoll,тёмный|таинственный,어두운|신비로운,مظلم|غامض
皮,skin|leather,piel|cuero,peau|cuir,haut|leder,кожа|кожа,피부|가죽,جلد|جلد
穴,cave|hole,cueva|agujero,grotte|trou,höhle|loch,пещера|дыра,굴|구멍,كهف|حفرة
氺,water variant,variante de agua,variante d'eau,wasser-variante,вариант воды,물 변형,متغير الماء
疋,foot|bolt,pie|perno,pied|boulon,fuß|bolzen,нога|болт,발|볼트,قدم|مسمار
疒,sickness radical,radical de enfermedad,radical de maladie,krankheits-radikal,радикал болезни,병 부수,جذر المرض
癶,footsteps,pasos,pas,schritte,шаги,발걸음,خطوات
罒,net|eye,red|ojo,filet|œil,netz|auge,сеть|глаз,그물|눈,شبكة|عين
乍,sudden|work,repentino|trabajar,soudain|travailler,plötzlich|arbeiten,внезапно|работать,갑자기|일하다,مفاجئ|عمل
丙,third|fire,tercero|fuego,troisième|feu,dritte|feuer,третий|огонь,셋째|불,ثالث|نار
乐,music|joy,música|alegría,musique|joie,musik|freude,музыка|радость,음악|기쁨,موسيقى|فرح
兄,elder brother,hermano mayor,frère aîné,älterer bruder,старший брат,형,أخ أكبر
四,four,cuatro,quatre,vier,четыре,넷,أربعة
央,center|middle,centro|medio,centre|milieu,zentrum|mitte,центр|середина,중앙|가운데,مركز|وسط
它,it|other,eso|otro,il|autre,es|andere,оно|другой,그것|다른,إنه|آخر
甲,armor|first,armadura|primero,armure|premier,rüstung|erste,броня|первый,갑옷|첫째,درع|أول
刍,grass|fodder,hierba|forraje,herbe|fourrage,gras|futter,трава|корм,풀|사료,عشب|علف
戋,small|narrow,pequeño|estrecho,petit|étroit,klein|schmal,маленький|узкий,작은|좁은,صغير|ضيق
且,and|moreover,y|además,et|de plus,und|außerdem,и|кроме того,그리고|게다가,و|علاوة على ذلك
丘,hill|mound,colina|montículo,colline|monticule,hügel|hügel,холм|холм,언덕|둔덕,تل|تل
业,business|karma,negocio|karma,affaire|karma,geschäft|karma,бизнес|карма,사업|업,عمل|كارما
东,east,este,est,osten,восток,동,شرق
乎,question particle,partícula interrogativa,particule interrogative,fragepartikel,вопросительная частица,어조사,أداة استفهام
令,order|command,orden|comando,ordre|commande,befehl|kommando,приказ|команда,명령|지시,أمر|قيادة
冬,winter,invierno,hiver,winter,зима,겨울,شتاء
出,exit|produce,salir|producir,sortir|produire,ausgehen|produzieren,выходить|производить,나가다|생산,خرج|أنتج
包,wrap|package,envolver|paquete,envelopper|paquet,umhüllen|paket,обёртывать|пакет,싸다|포장,لف|حزمة
北,north,norte,nord,norden,север,북,شمال
